endpoint,keylen,test_id,time
server,1,0,9
client,1,0,20
server,1,0,0
client,1,0,0
server,1,0,1658
client,1,0,535
server,1,0,2
client,1,0,6761
client,1,0,13797
server,1,0,98297
server,1,0,4
client,1,0,1
server,1,0,1
client,1,0,2
client,1,0,154588
server,1,0,1
server,1,0,5939
server,1,0,62022
server,1,1,1
client,1,1,9
client,1,1,1
server,1,1,1
server,1,1,13
client,1,1,5
client,1,1,8357
server,1,1,2
client,1,1,9184
client,1,1,1
server,1,1,73840
server,1,1,4
client,1,1,1
server,1,1,2
client,1,1,97613
server,1,1,1
server,1,1,4668
server,1,1,55949
client,1,2,9
server,1,2,2
server,1,2,0
client,1,2,1
server,1,2,22
server,1,2,2
client,1,2,7
client,1,2,9739
server,1,2,74959
client,1,2,9498
server,1,2,4
client,1,2,0
server,1,2,1
client,1,2,1
server,1,2,2
client,1,2,96581
server,1,2,4737
server,1,2,53357
server,1,3,1
client,1,3,11
client,1,3,1
server,1,3,1
client,1,3,9
server,1,3,14
client,1,3,8772
server,1,3,2
client,1,3,9966
server,1,3,73755
server,1,3,5
client,1,3,1
server,1,3,1
server,1,3,1
client,1,3,2
server,1,3,7475
client,1,3,99792
server,1,3,55689
server,1,4,2
client,1,4,12
server,1,4,1
server,1,4,18
client,1,4,0
client,1,4,4
server,1,4,1
server,1,4,81820
client,1,4,10099
server,1,4,4
server,1,4,1
client,1,4,9585
server,1,4,1
client,1,4,1
server,1,4,5028
client,1,4,1
client,1,4,96188
server,1,4,53207
server,1,5,1
client,1,5,12
server,1,5,1
client,1,5,2
server,1,5,13
client,1,5,4
client,1,5,10839
server,1,5,1
server,1,5,75571
client,1,5,9521
server,1,5,3
client,1,5,1
client,1,5,1
server,1,5,1
server,1,5,1
client,1,5,96705
server,1,5,4828
server,1,5,53621
server,1,6,1
client,1,6,8
client,1,6,0
server,1,6,0
server,1,6,14
client,1,6,5
server,1,6,1
client,1,6,8579
server,1,6,74015
server,1,6,2
client,1,6,9293
server,1,6,1
client,1,6,1
server,1,6,1
server,1,6,4691
client,1,6,1
server,1,6,53191
client,1,6,96061
server,1,7,1
client,1,7,8
client,1,7,1
server,1,7,1
server,1,7,14
client,1,7,4
client,1,7,8881
server,1,7,1
server,1,7,73574
client,1,7,9740
server,1,7,3
server,1,7,1
client,1,7,1
server,1,7,1
client,1,7,1
server,1,7,4856
client,1,7,96496
server,1,7,53322
server,1,8,1
client,1,8,8
client,1,8,2
server,1,8,1
client,1,8,3
server,1,8,14
client,1,8,9478
server,1,8,2
client,1,8,9708
server,1,8,73374
client,1,8,1
client,1,8,2
server,1,8,3
client,1,8,95894
server,1,8,1
server,1,8,1
server,1,8,4854
server,1,8,53440
server,1,9,1
client,1,9,9
client,1,9,1
server,1,9,1
client,1,9,5
server,1,9,14
server,1,9,2
client,1,9,9981
server,1,9,74579
client,1,9,9709
server,1,9,4
client,1,9,1
client,1,9,2
server,1,9,1
client,1,9,97777
server,1,9,1
server,1,9,5184
server,1,9,53891
client,1,10,9
server,1,10,1
client,1,10,1
server,1,10,1
server,1,10,13
client,1,10,5
server,1,10,2
client,1,10,9020
server,1,10,72953
server,1,10,3
client,1,10,9606
client,1,10,1
server,1,10,1
server,1,10,1
client,1,10,1
server,1,10,4872
client,1,10,96519
server,1,10,53571
server,1,11,2
client,1,11,8
client,1,11,1
server,1,11,1
server,1,11,14
client,1,11,4
server,1,11,2
client,1,11,8748
client,1,11,9831
server,1,11,74058
client,1,11,1
client,1,11,1
client,1,11,96512
server,1,11,4
server,1,11,1
server,1,11,2
server,1,11,4917
server,1,11,54003
client,1,12,9
server,1,12,1
client,1,12,1
server,1,12,1
client,1,12,5
client,1,12,9128
server,1,12,14
server,1,12,2
client,1,12,9519
server,1,12,73729
client,1,12,1
server,1,12,3
client,1,12,2
client,1,12,97469
server,1,12,1
server,1,12,1
server,1,12,4871
server,1,12,54216
client,1,13,8
server,1,13,1
server,1,13,0
client,1,13,1
server,1,13,14
client,1,13,5
client,1,13,8679
server,1,13,2
client,1,13,9421
server,1,13,72795
server,1,13,3
client,1,13,0
server,1,13,1
server,1,13,1
client,1,13,2
client,1,13,97775
server,1,13,4743
server,1,13,53652
client,1,14,12
server,1,14,2
server,1,14,1
client,1,14,1
server,1,14,14
client,1,14,5
server,1,14,2
client,1,14,11100
server,1,14,75230
client,1,14,9619
server,1,14,3
client,1,14,1
server,1,14,1
client,1,14,2
server,1,14,1
client,1,14,97071
server,1,14,4895
server,1,14,52730
server,1,15,1
client,1,15,9
client,1,15,1
server,1,15,1
client,1,15,5
server,1,15,13
server,1,15,1
client,1,15,8770
server,1,15,73210
client,1,15,10328
server,1,15,4
client,1,15,0
client,1,15,1
server,1,15,1
client,1,15,96185
server,1,15,1
server,1,15,4905
server,1,15,53584
server,1,16,1
client,1,16,9
server,1,16,1
client,1,16,1
server,1,16,14
