endpoint,keylen,test_id,operation,time
client,1,0,rsa_verify_with_sha256,847
server,1,0,dhm_make_params,58079
server,1,0,rsa_sign_with_sha512,23296
client,1,0,parse_server_dh_params,8
server,1,0,rsa_verify_with_sha512,765
server,1,0,rsa_verify_with_sha256,700
client,1,0,dhm_make_public,57702
client,1,0,dhm_calc_secret,52212
server,1,0,parse_client_dh_public,3
client,1,0,rsa_sign_with_sha256,30718
server,1,0,dhm_calc_secret,52406
server,1,0,rsa_verify_with_sha256,519
server,1,1,dhm_set_group,3
client,1,1,rsa_verify_with_sha256,517
server,1,1,dhm_make_params,43593
server,1,1,rsa_sign_with_sha512,16124
client,1,1,parse_server_dh_params,6
server,1,1,rsa_verify_with_sha512,547
server,1,1,rsa_verify_with_sha256,451
client,1,1,dhm_make_public,43827
client,1,1,dhm_calc_secret,44172
server,1,1,parse_client_dh_public,2
client,1,1,rsa_sign_with_sha256,16349
server,1,1,dhm_calc_secret,44833
server,1,1,rsa_verify_with_sha256,530
server,1,2,dhm_set_group,2
client,1,2,rsa_verify_with_sha256,469
server,1,2,dhm_make_params,43966
server,1,2,rsa_sign_with_sha512,16207
client,1,2,parse_server_dh_params,6
server,1,2,rsa_verify_with_sha512,597
server,1,2,rsa_verify_with_sha256,479
client,1,2,dhm_make_public,43445
client,1,2,dhm_calc_secret,43454
server,1,2,parse_client_dh_public,3
client,1,2,rsa_sign_with_sha256,15758
server,1,2,dhm_calc_secret,44054
server,1,2,rsa_verify_with_sha256,552
server,1,3,dhm_set_group,2
client,1,3,rsa_verify_with_sha256,460
server,1,3,dhm_make_params,43462
server,1,3,rsa_sign_with_sha512,16059
client,1,3,parse_server_dh_params,6
server,1,3,rsa_verify_with_sha512,555
server,1,3,rsa_verify_with_sha256,510
client,1,3,dhm_make_public,46878
client,1,3,dhm_calc_secret,43238
server,1,3,parse_client_dh_public,2
client,1,3,rsa_sign_with_sha256,18463
server,1,3,dhm_calc_secret,43739
server,1,3,rsa_verify_with_sha256,537
server,1,4,dhm_set_group,3
client,1,4,rsa_verify_with_sha256,524
server,1,4,dhm_make_params,46526
server,1,4,rsa_sign_with_sha512,19290
client,1,4,parse_server_dh_params,6
server,1,4,rsa_verify_with_sha512,535
server,1,4,rsa_verify_with_sha256,463
client,1,4,dhm_make_public,44045
client,1,4,dhm_calc_secret,42660
server,1,4,parse_client_dh_public,2
client,1,4,rsa_sign_with_sha256,15972
server,1,4,dhm_calc_secret,44221
server,1,4,rsa_verify_with_sha256,590
server,1,5,dhm_set_group,2
client,1,5,rsa_verify_with_sha256,484
server,1,5,dhm_make_params,45136
server,1,5,rsa_sign_with_sha512,16045
client,1,5,parse_server_dh_params,6
server,1,5,rsa_verify_with_sha512,553
server,1,5,rsa_verify_with_sha256,446
client,1,5,dhm_make_public,43979
client,1,5,dhm_calc_secret,43267
server,1,5,parse_client_dh_public,3
client,1,5,rsa_sign_with_sha256,16039
server,1,5,dhm_calc_secret,44019
server,1,5,rsa_verify_with_sha256,537
server,1,6,dhm_set_group,2
client,1,6,rsa_verify_with_sha256,512
server,1,6,dhm_make_params,43838
server,1,6,rsa_sign_with_sha512,16333
client,1,6,parse_server_dh_params,6
server,1,6,rsa_verify_with_sha512,586
server,1,6,rsa_verify_with_sha256,465
client,1,6,dhm_make_public,43553
client,1,6,dhm_calc_secret,42875
server,1,6,parse_client_dh_public,2
client,1,6,rsa_sign_with_sha256,16025
server,1,6,dhm_calc_secret,44145
server,1,6,rsa_verify_with_sha256,564
server,1,7,dhm_set_group,3
client,1,7,rsa_verify_with_sha256,446
server,1,7,dhm_make_params,43077
server,1,7,rsa_sign_with_sha512,16083
client,1,7,parse_server_dh_params,6
server,1,7,rsa_verify_with_sha512,591
server,1,7,rsa_verify_with_sha256,466
client,1,7,dhm_make_public,43374
client,1,7,dhm_calc_secret,43440
server,1,7,parse_client_dh_public,2
client,1,7,rsa_sign_with_sha256,16098
server,1,7,dhm_calc_secret,43346
server,1,7,rsa_verify_with_sha256,585
server,1,8,dhm_set_group,3
client,1,8,rsa_verify_with_sha256,439
server,1,8,dhm_make_params,43186
server,1,8,rsa_sign_with_sha512,15961
client,1,8,parse_server_dh_params,16
server,1,8,rsa_verify_with_sha512,633
server,1,8,rsa_verify_with_sha256,459
client,1,8,dhm_make_public,43285
client,1,8,dhm_calc_secret,42671
server,1,8,parse_client_dh_public,2
client,1,8,rsa_sign_with_sha256,16511
server,1,8,dhm_calc_secret,43489
server,1,8,rsa_verify_with_sha256,571
server,1,9,dhm_set_group,2
client,1,9,rsa_verify_with_sha256,495
server,1,9,dhm_make_params,43326
server,1,9,rsa_sign_with_sha512,16214
client,1,9,parse_server_dh_params,6
server,1,9,rsa_verify_with_sha512,559
server,1,9,rsa_verify_with_sha256,467
client,1,9,dhm_make_public,44140
client,1,9,dhm_calc_secret,43864
server,1,9,parse_client_dh_public,3
client,1,9,rsa_sign_with_sha256,15893
server,1,9,dhm_calc_secret,43935
server,1,9,rsa_verify_with_sha256,511
server,1,10,dhm_set_group,2
client,1,10,rsa_verify_with_sha256,440
server,1,10,dhm_make_params,42885
server,1,10,rsa_sign_with_sha512,15616
client,1,10,parse_server_dh_params,6
server,1,10,rsa_verify_with_sha512,549
server,1,10,rsa_verify_with_sha256,458
client,1,10,dhm_make_public,43698
client,1,10,dhm_calc_secret,42848
server,1,10,parse_client_dh_public,3
client,1,10,rsa_sign_with_sha256,15862
server,1,10,dhm_calc_secret,43887
server,1,10,rsa_verify_with_sha256,531
server,1,11,dhm_set_group,3
client,1,11,rsa_verify_with_sha256,453
server,1,11,dhm_make_params,43398
server,1,11,rsa_sign_with_sha512,16040
