endpoint,min_input,max_input,cycles,time
client,32,8192,389624180,150260
server,32,8192,407207313,157042
client,32,8192,416407277,160589
server,32,8192,395601045,152567
client,32,8192,409082052,157765
server,32,8192,258060546,99522
client,32,8192,441927583,170433
server,32,8192,247045482,95275
client,32,8192,419630376,161832
server,32,8192,304218539,117324
client,32,8192,419233647,161680
server,32,8192,360927449,139193
client,32,8192,425534637,164109
server,32,8192,219313347,84579
client,32,8192,25491783,9832
server,32,8192,237202454,91480
client,32,8192,414859256,159992
server,32,8192,384015521,148097
client,32,8192,415141893,160101
server,32,8192,346113640,133480
client,32,8192,412121048,158936
server,32,8192,280899690,108330
client,32,8192,406128625,156627
server,32,8192,373477569,144034
client,32,8192,427248610,164771
server,32,8192,218592493,84302
client,32,8192,417745265,161105
server,32,8192,394600147,152181
client,32,8192,399005654,153878
server,32,8192,404648022,156055
client,32,8192,104495307,40299
server,32,8192,365615593,141002
client,32,8192,300583153,115921
server,32,8192,396830127,153040
client,32,8192,391024400,150800
server,32,8192,407785552,157266
client,32,8192,172470802,66515
server,32,8192,240876735,92897
client,32,8192,408781264,157650
server,32,8192,351870100,135701
client,32,8192,419938943,161951
server,32,8192,229765730,88610
client,32,8192,415014836,160052
server,32,8192,236281939,91124
client,32,8192,391781556,151093
server,32,8192,294990052,113765
client,32,8192,412172908,158957
server,32,8192,239829163,92492
client,32,8192,391880090,151130
server,32,8192,363626762,140235
client,32,8192,410012939,158125
server,32,8192,253307577,97690
client,32,8192,385978422,148855
server,32,8192,409450258,157906
client,32,8192,415867933,160382
server,32,8192,387516071,149448
client,32,8192,402622889,155273
server,32,8192,403525253,155622
client,32,8192,401352319,154783
server,32,8192,394483462,152136
client,32,8192,413378653,159422
server,32,8192,412069188,158917
client,32,8192,417778974,161119
server,32,8192,402402484,155189
client,32,8192,413521268,159476
server,32,8192,396996079,153103
client,32,8192,418362399,161343
server,32,8192,410687119,158383
client,32,8192,417594871,161047
server,32,8192,247066226,95282
client,32,8192,420016733,161981
server,32,8192,269913149,104094
client,32,8192,416591380,160660
server,32,8192,414620700,159900
client,32,8192,416931063,160792
server,32,8192,216212119,83383
client,32,8192,408594568,157577
server,32,8192,227292008,87657
client,32,8192,416523962,160634
server,32,8192,310662144,119809
client,32,8192,417830834,161138
server,32,8192,217010763,83691
client,32,8192,400343642,154395
server,32,8192,86180948,33236
client,32,8192,407948911,157327
server,32,8192,226221099,87244
client,32,8192,429188174,165518
server,32,8192,230655129,88953
client,32,8192,405031786,156202
server,32,8192,268300303,103471
client,32,8192,424759330,163810
server,32,8192,216139515,83356
client,32,8192,398704866,153762
server,32,8192,250310069,96534
client,32,8192,409188365,157805
server,32,8192,271352264,104648
client,32,8192,419993396,161972
server,32,8192,245951236,94853
client,32,8192,424168126,163583
server,32,8192,121629851,46907
client,32,8192,410570434,158337
server,32,8192,223443996,86172
client,32,8192,401095612,154684
client,32,8192,3767629,1454
server,32,8192,62929517,24269
server,32,8192,425194954,163979
client,32,8192,400198434,154338
server,32,8192,419127334,161639
client,32,8192,39387670,15190
server,32,8192,423576922,163354
