endpoint,keylen,test_id,time
client,1,0,19
server,1,0,21
client,1,0,1
server,1,0,2
client,1,0,23
server,1,0,19
client,1,0,599
server,1,0,21
server,1,0,1
client,1,0,1
server,1,0,1
client,1,0,784
server,1,1,2
client,1,1,9
client,1,1,2
server,1,1,0
server,1,1,14
client,1,1,3
client,1,1,474
server,1,1,2
server,1,1,2
server,1,1,1
client,1,1,1
client,1,1,783
server,1,2,1
client,1,2,9
client,1,2,1
server,1,2,1
server,1,2,14
client,1,2,3
client,1,2,439
client,1,2,1
server,1,2,1
server,1,2,1
client,1,2,759
server,1,2,1
server,1,3,1
client,1,3,10
server,1,3,0
client,1,3,1
server,1,3,14
server,1,3,2
client,1,3,4
server,1,3,1
client,1,3,469
server,1,3,2
client,1,3,2
client,1,3,802
server,1,4,1
client,1,4,9
client,1,4,0
server,1,4,1
server,1,4,14
client,1,4,2
server,1,4,2
server,1,4,1
client,1,4,449
client,1,4,1
server,1,4,1
client,1,4,763
client,1,5,9
server,1,5,11
server,1,5,1
client,1,5,1
server,1,5,14
client,1,5,2
server,1,5,2
server,1,5,1
client,1,5,460
client,1,5,1
server,1,5,1
client,1,5,757
server,1,6,1
client,1,6,10
client,1,6,1
server,1,6,1
client,1,6,3
server,1,6,14
client,1,6,450
server,1,6,1
server,1,6,1
client,1,6,1
client,1,6,780
server,1,6,1
server,1,7,1
client,1,7,9
server,1,7,1
client,1,7,1
server,1,7,14
client,1,7,2
server,1,7,2
client,1,7,454
client,1,7,1
server,1,7,1
client,1,7,780
server,1,7,1
server,1,8,1
client,1,8,9
client,1,8,0
server,1,8,1
client,1,8,3
server,1,8,14
client,1,8,515
server,1,8,2
server,1,8,2
client,1,8,0
server,1,8,2
client,1,8,840
server,1,9,2
client,1,9,9
client,1,9,1
server,1,9,1
client,1,9,3
server,1,9,14
server,1,9,1
client,1,9,470
server,1,9,1
server,1,9,1
client,1,9,1
client,1,9,756
server,1,10,2
client,1,10,8
client,1,10,1
server,1,10,0
client,1,10,3
server,1,10,14
client,1,10,449
server,1,10,1
server,1,10,1
client,1,10,1
server,1,10,1
client,1,10,780
server,1,11,2
client,1,11,10
server,1,11,1
client,1,11,0
client,1,11,2
server,1,11,14
client,1,11,445
server,1,11,1
client,1,11,1
server,1,11,1
server,1,11,1
client,1,11,760
server,1,12,2
client,1,12,9
client,1,12,1
server,1,12,1
client,1,12,2
server,1,12,14
client,1,12,449
server,1,12,1
client,1,12,1
server,1,12,1
client,1,12,786
server,1,12,1
server,1,13,2
client,1,13,10
server,1,13,1
client,1,13,1
client,1,13,4
server,1,13,14
client,1,13,511
server,1,13,2
client,1,13,1
server,1,13,2
server,1,13,1
client,1,13,842
server,1,14,1
client,1,14,9
client,1,14,1
server,1,14,1
client,1,14,2
server,1,14,13
client,1,14,468
server,1,14,18
server,1,14,2
client,1,14,1
client,1,14,758
server,1,14,1
server,1,15,1
client,1,15,15
client,1,15,1
server,1,15,1
client,1,15,4
server,1,15,15
client,1,15,593
server,1,15,2
server,1,15,2
client,1,15,1
server,1,15,1
client,1,15,1379
client,1,16,13
server,1,16,1
server,1,16,1
client,1,16,2
server,1,16,14
server,1,16,2
client,1,16,4
server,1,16,1
client,1,16,523
server,1,16,1
client,1,16,1
client,1,16,860
server,1,17,2
client,1,17,40
client,1,17,1
server,1,17,1
client,1,17,3
server,1,17,120
server,1,17,2
client,1,17,446
server,1,17,2
client,1,17,0
server,1,17,1
client,1,17,781
server,1,18,2
client,1,18,13
client,1,18,1
server,1,18,1
server,1,18,23
client,1,18,3
server,1,18,2
client,1,18,493
server,1,18,2
client,1,18,1
server,1,18,1
client,1,18,863
server,1,19,2
client,1,19,9
server,1,19,1
client,1,19,1
server,1,19,13
client,1,19,2
client,1,19,468
server,1,19,17
client,1,19,1
client,1,19,783
server,1,19,1
server,1,19,1
server,1,20,1
client,1,20,9
client,1,20,1
server,1,20,1
client,1,20,5
server,1,20,15
client,1,20,479
client,1,20,1
server,1,20,2
server,1,20,2
client,1,20,858
server,1,20,2
server,1,21,2
client,1,21,10
client,1,21,0
server,1,21,1
server,1,21,14
client,1,21,4
server,1,21,2
server,1,21,2
client,1,21,648
server,1,21,1
client,1,21,1
client,1,21,1179
server,1,22,1
client,1,22,9
client,1,22,1
server,1,22,1
client,1,22,3
client,1,22,449
server,1,22,14
client,1,22,1
server,1,22,1
client,1,22,782
server,1,22,2
server,1,22,1
server,1,23,1
client,1,23,11
server,1,23,0
client,1,23,1
client,1,23,3
server,1,23,14
server,1,23,1
client,1,23,518
server,1,23,1
client,1,23,1
server,1,23,1
client,1,23,953
server,1,24,1
client,1,24,9
server,1,24,1
client,1,24,1
client,1,24,4
server,1,24,15
client,1,24,466
client,1,24,1
server,1,24,2
client,1,24,814
server,1,24,2
server,1,24,1
client,1,25,15
server,1,25,1
server,1,25,0
client,1,25,1
client,1,25,3
server,1,25,14
client,1,25,460
server,1,25,2
server,1,25,2
client,1,25,1
server,1,25,1
client,1,25,792
server,1,26,2
client,1,26,9
client,1,26,1
server,1,26,0
client,1,26,2
server,1,26,14
server,1,26,1
client,1,26,449
