endpoint,min_input,max_input,cycles,time
client,32,8192,20588420,7940
server,32,8192,159472093,61502
client,32,8192,16737815,6455
server,32,8192,174848583,67433
client,32,8192,20038704,7729
server,32,8192,178483969,68834
client,32,8192,17650551,6808
server,32,8192,178621398,68887
client,32,8192,16237366,6262
server,32,8192,171210604,66029
client,32,8192,16390353,6321
server,32,8192,173596164,66949
client,32,8192,20362829,7854
server,32,8192,170474192,65746
client,32,8192,17326426,6682
server,32,8192,173671361,66977
client,32,8192,17655737,6809
server,32,8192,161862839,62424
client,32,8192,16813012,6484
server,32,8192,125568618,48426
client,32,8192,16947848,6536
server,32,8192,16335900,6300
client,32,8192,16750780,6461
server,32,8192,165098903,63672
client,32,8192,18062838,6966
server,32,8192,172281513,66441
client,32,8192,16273668,6276
server,32,8192,15913241,6137
client,32,8192,16099937,6210
server,32,8192,166340950,64151
client,32,8192,18080989,6973
server,32,8192,167188861,64478
client,32,8192,17575354,6778
server,32,8192,17593505,6787
client,32,8192,17531273,6762
server,32,8192,145594357,56149
client,32,8192,20272074,7818
server,32,8192,17217520,6641
client,32,8192,18221011,7028
server,32,8192,165179286,63694
client,32,8192,17985048,6937
server,32,8192,154988796,59772
client,32,8192,18044687,6960
server,32,8192,160918987,62060
client,32,8192,16750780,6460
server,32,8192,63712603,24571
client,32,8192,19483802,7515
server,32,8192,17624621,6798
client,32,8192,17243450,6650
server,32,8192,53488404,20629
client,32,8192,17036010,6571
server,32,8192,166392810,64172
client,32,8192,16411097,6330
server,32,8192,161549086,62303
client,32,8192,16753373,6461
server,32,8192,53936993,20802
client,32,8192,19211537,7419
server,32,8192,115933030,44711
client,32,8192,16605572,6404
client,32,8192,6575848,2536
server,32,8192,163779066,63162
client,32,8192,5857587,2260
server,32,8192,161712445,62365
client,32,8192,6448791,2489
server,32,8192,98845160,38121
client,32,8192,7198168,2777
server,32,8192,164401386,63403
client,32,8192,5297499,2044
server,32,8192,141790426,54682
client,32,8192,5823878,2246
server,32,8192,165534527,63840
client,32,8192,6881822,2654
server,32,8192,159028690,61330
client,32,8192,13255416,5112
server,32,8192,108475562,41834
client,32,8192,7426352,2864
server,32,8192,137939821,53198
client,32,8192,7099634,2738
server,32,8192,166496530,64209
client,32,8192,3230878,1247
server,32,8192,171451753,66121
client,32,8192,5735716,2212
server,32,8192,169587386,65403
client,32,8192,6508430,2510
server,32,8192,176977436,68253
client,32,8192,14585625,5626
server,32,8192,159282804,61429
server,32,8192,164956288,63617
client,32,8192,20736221,7997
server,32,8192,160379643,61851
client,32,8192,15288328,5896
server,32,8192,21693038,8366
client,32,8192,15454280,5960
server,32,8192,164056517,63270
client,32,8192,14546730,5611
server,32,8192,71670520,27631
client,32,8192,17972083,6931
server,32,8192,168062702,64815
client,32,8192,20699919,7985
