sec_lvl,test_id,operation,cycles,time
2,31,rsa_encrypt,12591608,4856
2,31,psk_derive_premaster,2593,1
2,32,rsa_encrypt,10076398,3885
2,32,psk_derive_premaster,0,0
2,33,rsa_encrypt,12495667,4819
2,33,psk_derive_premaster,2593,1
2,34,rsa_encrypt,10231978,3945
2,34,psk_derive_premaster,0,0
2,35,rsa_encrypt,12293413,4741
2,35,psk_derive_premaster,2593,1
2,36,rsa_encrypt,12358238,4766
2,36,psk_derive_premaster,2593,1
2,37,rsa_encrypt,12381575,4775
2,37,psk_derive_premaster,2593,1
2,38,rsa_encrypt,12075601,4657
2,38,psk_derive_premaster,2593,1
2,39,rsa_encrypt,10226792,3943
2,39,psk_derive_premaster,0,0
3,0,rsa_encrypt,70480333,27181
3,0,psk_derive_premaster,2593,0
3,1,rsa_encrypt,71896111,27728
3,1,psk_derive_premaster,2593,1
3,2,rsa_encrypt,27034618,10425
3,2,psk_derive_premaster,0,0
3,3,rsa_encrypt,26562692,10243
3,3,psk_derive_premaster,2593,2
3,4,rsa_encrypt,54816020,21139
3,4,psk_derive_premaster,0,0
3,5,rsa_encrypt,71470859,27562
3,5,psk_derive_premaster,5186,1
3,6,rsa_encrypt,72116516,27812
3,6,psk_derive_premaster,5186,1
3,7,rsa_encrypt,72331735,27896
3,7,psk_derive_premaster,5186,1
3,8,rsa_encrypt,72095772,27806
3,8,psk_derive_premaster,2593,1
3,9,rsa_encrypt,62665031,24166
3,9,psk_derive_premaster,2593,1
3,10,rsa_encrypt,77748512,29985
3,10,psk_derive_premaster,5186,1
3,11,rsa_encrypt,68872673,26560
3,11,psk_derive_premaster,5186,1
3,12,rsa_encrypt,9148104,3527
3,12,psk_derive_premaster,0,0
3,13,rsa_encrypt,71001526,27383
3,13,psk_derive_premaster,5186,1
3,14,rsa_encrypt,46855510,18069
3,14,psk_derive_premaster,5186,1
3,15,rsa_encrypt,68846743,26550
3,15,psk_derive_premaster,2593,1
3,16,rsa_encrypt,69378308,26756
3,16,psk_derive_premaster,5186,1
3,17,rsa_encrypt,51704420,19939
3,17,psk_derive_premaster,0,0
3,18,rsa_encrypt,68971207,26589
3,18,psk_derive_premaster,5186,1
3,19,rsa_encrypt,62174954,23977
3,19,psk_derive_premaster,0,0
3,20,rsa_encrypt,45089677,17388
3,20,psk_derive_premaster,5186,1
3,21,rsa_encrypt,32127270,12389
3,21,psk_derive_premaster,5186,1
3,22,rsa_encrypt,59498978,22945
3,22,psk_derive_premaster,0,0
3,23,rsa_encrypt,67768055,26134
3,23,psk_derive_premaster,0,0
3,24,rsa_encrypt,64752396,24971
3,24,psk_derive_premaster,0,0
3,25,rsa_encrypt,64534584,24887
3,25,psk_derive_premaster,0,0
3,26,rsa_encrypt,54406326,20980
3,26,psk_derive_premaster,0,0
3,27,rsa_encrypt,70648878,27247
3,27,psk_derive_premaster,2593,0
3,28,rsa_encrypt,54471151,21006
3,28,psk_derive_premaster,0,0
3,29,rsa_encrypt,59454897,22928
3,29,psk_derive_premaster,2593,1
3,30,rsa_encrypt,61275183,23630
3,30,psk_derive_premaster,5186,1
3,31,rsa_encrypt,66507857,25648
3,31,psk_derive_premaster,5186,1
3,32,rsa_encrypt,70008407,27000
3,32,psk_derive_premaster,2593,1
3,33,rsa_encrypt,68509653,26421
3,33,psk_derive_premaster,2593,1
3,34,rsa_encrypt,66891621,25796
3,34,psk_derive_premaster,0,0
3,35,rsa_encrypt,51569584,19888
3,35,psk_derive_premaster,2593,1
3,36,rsa_encrypt,69679096,26873
3,36,psk_derive_premaster,2593,1
3,37,rsa_encrypt,57038221,21996
3,37,psk_derive_premaster,0,0
3,38,rsa_encrypt,61941584,23887
3,38,psk_derive_premaster,0,0
3,39,rsa_encrypt,70029151,27008
3,39,psk_derive_premaster,2593,1
