sec_lvl,test_id,operation,cycles,time
1,18,sha256_hash_master_secret,64825,24
1,18,sha256_hash_key_expansion,134836,52
1,18,rsa_sign_with_sha256,162054721,62497
1,19,parse_server_dh_params,20744,9
1,19,rsa_verify_with_sha512,4942258,1906
1,19,dhm_make_public,473305476,182534
1,19,dhm_calc_secret,469532661,181079
1,19,sha256_hash_master_secret,64825,24
1,19,sha256_hash_key_expansion,132243,52
1,19,rsa_sign_with_sha256,162505903,62672
1,20,parse_server_dh_params,20744,9
1,20,rsa_verify_with_sha512,4983746,1923
1,20,dhm_make_public,476087765,183606
1,20,dhm_calc_secret,471990825,182024
1,20,sha256_hash_master_secret,0,0
1,20,sha256_hash_key_expansion,0,0
1,20,rsa_sign_with_sha256,165353017,63770
1,21,parse_server_dh_params,20744,9
1,21,rsa_verify_with_sha512,4895584,1889
1,21,dhm_make_public,475410992,183347
1,21,dhm_calc_secret,474213026,182883
1,21,sha256_hash_master_secret,62232,24
1,21,sha256_hash_key_expansion,132243,51
1,21,rsa_sign_with_sha256,159409861,61478
1,22,parse_server_dh_params,20744,9
1,22,rsa_verify_with_sha512,5064129,1954
1,22,dhm_make_public,467035602,180113
1,22,dhm_calc_secret,462399318,178328
1,22,sha256_hash_master_secret,64825,25
1,22,sha256_hash_key_expansion,137429,52
1,22,rsa_sign_with_sha256,148197729,57153
1,23,parse_server_dh_params,23337,8
1,23,rsa_verify_with_sha512,5007083,1932
1,23,dhm_make_public,468391741,180638
1,23,dhm_calc_secret,467020044,180109
1,23,sha256_hash_master_secret,62232,24
1,23,sha256_hash_key_expansion,132243,52
1,23,rsa_sign_with_sha256,123525334,47637
1,24,parse_server_dh_params,20744,9
1,24,rsa_verify_with_sha512,5058943,1951
1,24,dhm_make_public,468422857,180649
1,24,dhm_calc_secret,466950033,180082
1,24,sha256_hash_master_secret,62232,24
1,24,sha256_hash_key_expansion,132243,51
1,24,rsa_sign_with_sha256,143986697,55529
2,0,parse_server_dh_params,23337,9
2,0,rsa_verify_with_sha512,16947848,6537
2,0,dhm_make_public,1588295476,612534
2,0,dhm_calc_secret,1423466245,548965
2,0,sha256_hash_master_secret,188365892,72645
2,0,sha256_hash_key_expansion,137429,54
2,0,rsa_sign_with_sha256,117390296,45272
2,1,parse_server_dh_params,25930,10
2,1,rsa_verify_with_sha512,12697921,4899
2,1,dhm_make_public,1607027308,619757
2,1,dhm_calc_secret,1605956399,619343
2,1,sha256_hash_master_secret,4026929,1555
2,1,sha256_hash_key_expansion,147801,58
2,1,rsa_sign_with_sha256,9881923,3810
2,2,parse_server_dh_params,28523,11
2,2,rsa_verify_with_sha512,13460263,5194
2,2,dhm_make_public,1584660090,611130
2,2,dhm_calc_secret,1647747780,635460
2,2,sha256_hash_master_secret,10442011,4027
2,2,sha256_hash_key_expansion,147801,57
2,2,rsa_sign_with_sha256,497542247,191879
