endpoint,min_input,max_input,cycles,time
client,32,8192,3083077,1190
server,32,8192,3332005,1287
client,32,8192,5048571,1948
server,32,8192,3988034,1539
client,32,8192,3422760,1320
server,32,8192,3142716,1212
client,32,8192,3114193,1202
server,32,8192,3321633,1281
client,32,8192,3539445,1365
server,32,8192,3313854,1279
client,32,8192,3111600,1201
server,32,8192,3285331,1267
client,32,8192,3474620,1341
server,32,8192,4174730,1610
client,32,8192,3484992,1344
server,32,8192,3653537,1409
client,32,8192,3121972,1204
server,32,8192,3580933,1382
client,32,8192,3809117,1469
server,32,8192,3767629,1453
client,32,8192,5603473,2162
server,32,8192,3936174,1519
client,32,8192,3249029,1253
server,32,8192,3251622,1256
client,32,8192,3046775,1176
server,32,8192,4026929,1553
client,32,8192,3503143,1352
server,32,8192,4229183,1633
client,32,8192,3274959,1264
server,32,8192,4413286,1702
client,32,8192,4924107,1899
server,32,8192,3552410,1371
client,32,8192,4164358,1606
server,32,8192,3285331,1268
client,32,8192,3230878,1246
server,32,8192,3679467,1421
client,32,8192,3523887,1360
server,32,8192,3578340,1380
client,32,8192,3191983,1230
server,32,8192,3223099,1244
client,32,8192,3129751,1208
server,32,8192,3033810,1171
client,32,8192,2906753,1121
server,32,8192,4112498,1587
client,32,8192,3119379,1203
server,32,8192,3236064,1249
client,32,8192,3111600,1200
server,32,8192,3466841,1337
client,32,8192,3365714,1299
server,32,8192,5829064,2249
client,32,8192,6456570,2491
server,32,8192,6798846,2622
client,32,8192,9236266,3562
server,32,8192,6632894,2562
client,32,8192,11284736,4354
server,32,8192,6643266,2562
client,32,8192,6645859,2562
server,32,8192,7615641,2938
client,32,8192,4636284,1788
server,32,8192,3412388,1317
client,32,8192,3427946,1322
server,32,8192,6023539,2324
client,32,8192,5134140,1982
server,32,8192,3663909,1413
client,32,8192,3599084,1388
server,32,8192,3635386,1403
client,32,8192,3319040,1280
server,32,8192,3381272,1304
client,32,8192,3199762,1234
server,32,8192,3409795,1317
client,32,8192,3420167,1318
server,32,8192,3285331,1268
client,32,8192,3261994,1258
server,32,8192,3557596,1372
client,32,8192,3500550,1350
server,32,8192,6122073,2361
client,32,8192,4918921,1897
server,32,8192,3363121,1297
client,32,8192,3495364,1346
server,32,8192,3106414,1199
client,32,8192,3158274,1219
server,32,8192,3474620,1340
client,32,8192,3425353,1321
server,32,8192,5854994,2259
client,32,8192,47000718,18126
server,32,8192,6230979,2403
client,32,8192,7467840,2880
server,32,8192,6171340,2381
client,32,8192,5232674,2019
server,32,8192,7260400,2800
client,32,8192,5683856,2192
server,32,8192,4555901,1758
client,32,8192,6957019,2683
server,32,8192,7084076,2732
client,32,8192,10942460,4220
server,32,8192,7187796,2772
client,32,8192,6446198,2486
server,32,8192,3925802,1515
client,32,8192,4532564,1749
server,32,8192,3399423,1312
client,32,8192,4384763,1691
server,32,8192,3261994,1258
client,32,8192,3075298,1187
server,32,8192,3404609,1314
client,32,8192,3114193,1201
server,32,8192,3702804,1429
client,32,8192,3409795,1316
server,32,8192,4755562,1834
client,32,8192,3306075,1276
server,32,8192,3542038,1367
client,32,8192,3497957,1349
server,32,8192,3147902,1215
client,32,8192,3176425,1225
server,32,8192,3601677,1389
client,32,8192,3256808,1258
server,32,8192,3230878,1246
client,32,8192,4156579,1604
server,32,8192,3936174,1518
client,32,8192,4973374,1919
server,32,8192,3412388,1316
client,32,8192,3285331,1267
server,32,8192,3303482,1275
client,32,8192,3389051,1308
server,32,8192,3243843,1251
client,32,8192,3368307,1300
server,32,8192,3339784,1289
client,32,8192,3241250,1250
server,32,8192,3176425,1225
client,32,8192,3251622,1255
server,32,8192,3435725,1325
client,32,8192,3850605,1485
server,32,8192,3718362,1434
client,32,8192,3399423,1312
server,32,8192,3640572,1404
client,32,8192,3191983,1232
server,32,8192,4517006,1743
client,32,8192,3658723,1412
server,32,8192,3324226,1284
client,32,8192,3179018,1227
server,32,8192,3282738,1266
client,32,8192,3173832,1224
server,32,8192,3171239,1223
client,32,8192,4019150,1551
server,32,8192,3790966,1462
