endpoint,data_size,time
server,1048576,108824
client,1048576,109777
server,1048576,109650
client,1048576,110629
server,1048576,109464
client,1048576,110397
server,1048576,109092
client,1048576,110097
server,1048576,109039
client,1048576,110015
server,1048576,108192
client,1048576,109146
server,1048576,110059
client,1048576,111076
server,1048576,110066
client,1048576,111031
server,1048576,109508
client,1048576,110484
server,1048576,109240
client,1048576,110195
server,1048576,109068
client,1048576,110060
server,1048576,108379
client,1048576,109326
server,1048576,110172
client,1048576,111175
server,1048576,108388
client,1048576,109380
server,1048576,109492
client,1048576,110467
server,1048576,108203
client,1048576,109160
server,1048576,110086
client,1048576,111048
server,1048576,109279
client,1048576,110222
server,1048576,109481
client,1048576,110431
server,1048576,109328
client,1048576,110300
server,1048576,108850
client,1048576,109784
server,1048576,108301
client,1048576,109245
server,1048576,109350
client,1048576,110351
server,1048576,109630
client,1048576,110610
server,1048576,109130
client,1048576,110121
server,1048576,109641
client,1048576,110603
server,1048576,108454
client,1048576,109474
server,1048576,109206
client,1048576,110221
server,1048576,108238
client,1048576,109235
server,1048576,109148
client,1048576,110141
server,1048576,109276
client,1048576,110283
server,1048576,109160
client,1048576,110150
server,1048576,109547
client,1048576,110588
server,1048576,109025
client,1048576,110048
server,1048576,109422
client,1048576,110413
server,1048576,108886
client,1048576,109863
server,1048576,108111
client,1048576,109129
server,1048576,109181
client,1048576,110182
server,1048576,109315
client,1048576,110327
server,1048576,109830
client,1048576,110830
server,1048576,109675
client,1048576,110675
server,1048576,109079
client,1048576,110142
server,1048576,109908
client,1048576,110894
server,1048576,108899
client,1048576,109876
server,1048576,108650
client,1048576,109651
server,1048576,109514
client,1048576,110535
server,1048576,108618
client,1048576,109615
server,1048576,109057
client,1048576,110074
server,1048576,108823
client,1048576,109846
server,1048576,107752
client,1048576,108763
server,1048576,108333
client,1048576,109330
server,1048576,108489
client,1048576,109480
server,1048576,109555
client,1048576,110558
server,1048576,109224
client,1048576,110229
server,1048576,110321
client,1048576,111291
server,1048576,110124
client,1048576,111067
server,1048576,109831
client,1048576,110818
server,1048576,109447
client,1048576,110427
server,1048576,111820
client,1048576,112782
server,1048576,111285
client,1048576,112251
server,1048576,110400
client,1048576,111376
server,1048576,108778
client,1048576,109771
server,1048576,109696
client,1048576,110690
server,1048576,109502
client,1048576,110477
server,1048576,107978
client,1048576,108971
server,1048576,109563
client,1048576,110526
server,1048576,109791
client,1048576,110795
server,1048576,109018
client,1048576,110025
server,1048576,109488
client,1048576,110435
server,1048576,107772
client,1048576,108744
server,1048576,109861
client,1048576,110836
server,1048576,110112
client,1048576,111082
server,1048576,108967
client,1048576,109953
server,1048576,108506
client,1048576,109486
server,1048576,109352
client,1048576,110319
server,1048576,109604
client,1048576,110601
server,1048576,109153
client,1048576,110186
server,1048576,108229
client,1048576,109207
server,1048576,108687
client,1048576,109657
server,1048576,111583
client,1048576,112532
server,1048576,109734
client,1048576,110718
server,1048576,108520
client,1048576,109449
server,1048576,109526
client,1048576,110506
server,1048576,108287
client,1048576,109261
server,1048576,108998
client,1048576,109981
server,1048576,110999
client,1048576,111969
server,1048576,107792
client,1048576,108795
server,1048576,108910
client,1048576,109872
server,1048576,109663
client,1048576,110641
server,1048576,109388
client,1048576,110346
server,1048576,108593
client,1048576,109584
server,1048576,109146
client,1048576,110155
server,1048576,108783
client,1048576,109749
server,1048576,109857
client,1048576,110895
server,1048576,109150
client,1048576,110109
server,1048576,109621
client,1048576,110750
server,1048576,109639
client,1048576,110615
server,1048576,109252
client,1048576,110249
server,1048576,109808
client,1048576,110743
server,1048576,109732
client,1048576,110686
server,1048576,109163
client,1048576,110146
server,1048576,108792
client,1048576,109777
server,1048576,109181
client,1048576,110127
server,1048576,108507
client,1048576,109476
server,1048576,110447
client,1048576,111434
server,1048576,109558
client,1048576,110546
server,1048576,109147
client,1048576,110105
server,1048576,108963
client,1048576,109939
server,1048576,108984
client,1048576,109949
server,1048576,109499
