endpoint,keylen,test_id,operation,time
client,1,0,rsa_verify_with_sha256,853
client,1,0,rsa_encrypt,890
client,1,0,ecdsa_sign_with_sha256,10652
server,1,0,ecdsa_verify_with_sha256,21219
server,1,0,rsa_decrypt,21614
server,1,0,ecdsa_verify_with_sha256,19944
client,1,1,rsa_verify_with_sha256,466
client,1,1,rsa_encrypt,856
client,1,1,ecdsa_sign_with_sha256,10419
server,1,1,ecdsa_verify_with_sha256,20709
server,1,1,rsa_decrypt,14932
server,1,1,ecdsa_verify_with_sha256,20046
client,1,2,rsa_verify_with_sha256,466
client,1,2,rsa_encrypt,842
client,1,2,ecdsa_sign_with_sha256,10189
server,1,2,ecdsa_verify_with_sha256,20381
server,1,2,rsa_decrypt,14829
server,1,2,ecdsa_verify_with_sha256,20954
client,1,3,rsa_verify_with_sha256,489
client,1,3,rsa_encrypt,845
client,1,3,ecdsa_sign_with_sha256,10131
server,1,3,ecdsa_verify_with_sha256,20625
server,1,3,rsa_decrypt,15052
server,1,3,ecdsa_verify_with_sha256,20269
client,1,4,rsa_verify_with_sha256,477
client,1,4,rsa_encrypt,836
client,1,4,ecdsa_sign_with_sha256,10095
server,1,4,ecdsa_verify_with_sha256,20779
server,1,4,rsa_decrypt,14994
server,1,4,ecdsa_verify_with_sha256,20602
client,1,5,rsa_verify_with_sha256,441
client,1,5,rsa_encrypt,828
client,1,5,ecdsa_sign_with_sha256,10418
server,1,5,ecdsa_verify_with_sha256,20863
server,1,5,rsa_decrypt,14903
server,1,5,ecdsa_verify_with_sha256,19807
client,1,6,rsa_verify_with_sha256,542
client,1,6,rsa_encrypt,850
client,1,6,ecdsa_sign_with_sha256,10309
server,1,6,ecdsa_verify_with_sha256,20364
server,1,6,rsa_decrypt,15332
server,1,6,ecdsa_verify_with_sha256,19939
client,1,7,rsa_verify_with_sha256,460
client,1,7,rsa_encrypt,819
client,1,7,ecdsa_sign_with_sha256,10104
server,1,7,ecdsa_verify_with_sha256,20199
server,1,7,rsa_decrypt,15035
server,1,7,ecdsa_verify_with_sha256,20035
client,1,8,rsa_verify_with_sha256,552
client,1,8,rsa_encrypt,831
client,1,8,ecdsa_sign_with_sha256,10297
server,1,8,ecdsa_verify_with_sha256,20693
server,1,8,rsa_decrypt,15047
server,1,8,ecdsa_verify_with_sha256,19710
client,1,9,rsa_verify_with_sha256,476
client,1,9,rsa_encrypt,1282
client,1,9,ecdsa_sign_with_sha256,10148
server,1,9,ecdsa_verify_with_sha256,20847
server,1,9,rsa_decrypt,14726
server,1,9,ecdsa_verify_with_sha256,20202
client,1,10,rsa_verify_with_sha256,441
client,1,10,rsa_encrypt,814
client,1,10,ecdsa_sign_with_sha256,10276
server,1,10,ecdsa_verify_with_sha256,20637
server,1,10,rsa_decrypt,15002
server,1,10,ecdsa_verify_with_sha256,20130
client,1,11,rsa_verify_with_sha256,441
client,1,11,rsa_encrypt,849
client,1,11,ecdsa_sign_with_sha256,10054
server,1,11,ecdsa_verify_with_sha256,20526
server,1,11,rsa_decrypt,15177
server,1,11,ecdsa_verify_with_sha256,19792
client,1,12,rsa_verify_with_sha256,450
client,1,12,rsa_encrypt,813
client,1,12,ecdsa_sign_with_sha256,10386
server,1,12,ecdsa_verify_with_sha256,20510
server,1,12,rsa_decrypt,14965
server,1,12,ecdsa_verify_with_sha256,20590
client,1,13,rsa_verify_with_sha256,491
client,1,13,rsa_encrypt,819
client,1,13,ecdsa_sign_with_sha256,10094
server,1,13,ecdsa_verify_with_sha256,20200
server,1,13,rsa_decrypt,14981
server,1,13,ecdsa_verify_with_sha256,19566
client,1,14,rsa_verify_with_sha256,477
client,1,14,rsa_encrypt,849
client,1,14,ecdsa_sign_with_sha256,18224
server,1,14,ecdsa_verify_with_sha256,28725
server,1,14,rsa_decrypt,15634
server,1,14,ecdsa_verify_with_sha256,19796
client,1,15,rsa_verify_with_sha256,486
client,1,15,rsa_encrypt,777
client,1,15,ecdsa_sign_with_sha256,10135
server,1,15,ecdsa_verify_with_sha256,20107
server,1,15,rsa_decrypt,15139
server,1,15,ecdsa_verify_with_sha256,22622
client,1,16,rsa_verify_with_sha256,489
client,1,16,rsa_encrypt,832
client,1,16,ecdsa_sign_with_sha256,10361
server,1,16,ecdsa_verify_with_sha256,20633
server,1,16,rsa_decrypt,15019
server,1,16,ecdsa_verify_with_sha256,19900
client,1,17,rsa_verify_with_sha256,529
client,1,17,rsa_encrypt,824
client,1,17,ecdsa_sign_with_sha256,18754
server,1,17,ecdsa_verify_with_sha256,29023
server,1,17,rsa_decrypt,15097
server,1,17,ecdsa_verify_with_sha256,19809
client,1,18,rsa_verify_with_sha256,557
client,1,18,rsa_encrypt,829
client,1,18,ecdsa_sign_with_sha256,10452
server,1,18,ecdsa_verify_with_sha256,20757
server,1,18,rsa_decrypt,14991
server,1,18,ecdsa_verify_with_sha256,20075
client,1,19,rsa_verify_with_sha256,483
client,1,19,rsa_encrypt,821
client,1,19,ecdsa_sign_with_sha256,10115
server,1,19,ecdsa_verify_with_sha256,20562
server,1,19,rsa_decrypt,15091
server,1,19,ecdsa_verify_with_sha256,19728
client,1,20,rsa_verify_with_sha256,478
client,1,20,rsa_encrypt,841
client,1,20,ecdsa_sign_with_sha256,10292
server,1,20,ecdsa_verify_with_sha256,20656
server,1,20,rsa_decrypt,14997
server,1,20,ecdsa_verify_with_sha256,19859
client,1,21,rsa_verify_with_sha256,445
client,1,21,rsa_encrypt,921
client,1,21,ecdsa_sign_with_sha256,10257
server,1,21,ecdsa_verify_with_sha256,20831
server,1,21,rsa_decrypt,14959
server,1,21,ecdsa_verify_with_sha256,19474
client,1,22,rsa_verify_with_sha256,583
client,1,22,rsa_encrypt,840
client,1,22,ecdsa_sign_with_sha256,10107
server,1,22,ecdsa_verify_with_sha256,20314
server,1,22,rsa_decrypt,15069
server,1,22,ecdsa_verify_with_sha256,20171
client,1,23,rsa_verify_with_sha256,491
client,1,23,rsa_encrypt,835
client,1,23,ecdsa_sign_with_sha256,10366
server,1,23,ecdsa_verify_with_sha256,20661
server,1,23,rsa_decrypt,15121
server,1,23,ecdsa_verify_with_sha256,19430
client,1,24,rsa_verify_with_sha256,451
client,1,24,rsa_encrypt,860
client,1,24,ecdsa_sign_with_sha256,10099
server,1,24,ecdsa_verify_with_sha256,20207
server,1,24,rsa_decrypt,15102
server,1,24,ecdsa_verify_with_sha256,19911
client,1,25,rsa_verify_with_sha256,498
client,1,25,rsa_encrypt,847
client,1,25,ecdsa_sign_with_sha256,10100
server,1,25,ecdsa_verify_with_sha256,20753
server,1,25,rsa_decrypt,15056
server,1,25,ecdsa_verify_with_sha256,19481
client,1,26,rsa_verify_with_sha256,467
client,1,26,rsa_encrypt,857
client,1,26,ecdsa_sign_with_sha256,10068
server,1,26,ecdsa_verify_with_sha256,20567
server,1,26,rsa_decrypt,14997
server,1,26,ecdsa_verify_with_sha256,19920
client,1,27,rsa_verify_with_sha256,491
client,1,27,rsa_encrypt,843
client,1,27,ecdsa_sign_with_sha256,10118
server,1,27,ecdsa_verify_with_sha256,20434
server,1,27,rsa_decrypt,19625
server,1,27,ecdsa_verify_with_sha256,20219
client,1,28,rsa_verify_with_sha256,461
client,1,28,rsa_encrypt,819
client,1,28,ecdsa_sign_with_sha256,10397
server,1,28,ecdsa_verify_with_sha256,20537
server,1,28,rsa_decrypt,15115
server,1,28,ecdsa_verify_with_sha256,19817
client,1,29,rsa_verify_with_sha256,502
client,1,29,rsa_encrypt,818
client,1,29,ecdsa_sign_with_sha256,10135
server,1,29,ecdsa_verify_with_sha256,20504
server,1,29,rsa_decrypt,15267
server,1,29,ecdsa_verify_with_sha256,19782
client,1,30,rsa_verify_with_sha256,539
client,1,30,rsa_encrypt,841
client,1,30,ecdsa_sign_with_sha256,10334
server,1,30,ecdsa_verify_with_sha256,20528
server,1,30,rsa_decrypt,15259
server,1,30,ecdsa_verify_with_sha256,19611
client,1,31,rsa_verify_with_sha256,497
client,1,31,rsa_encrypt,814
client,1,31,ecdsa_sign_with_sha256,10225
server,1,31,ecdsa_verify_with_sha256,20623
server,1,31,rsa_decrypt,14919
server,1,31,ecdsa_verify_with_sha256,19833
client,1,32,rsa_verify_with_sha256,527
client,1,32,rsa_encrypt,841
client,1,32,ecdsa_sign_with_sha256,10534
server,1,32,ecdsa_verify_with_sha256,25895
server,1,32,rsa_decrypt,15549
server,1,32,ecdsa_verify_with_sha256,19850
client,1,33,rsa_verify_with_sha256,441
client,1,33,rsa_encrypt,804
client,1,33,ecdsa_sign_with_sha256,10063
server,1,33,ecdsa_verify_with_sha256,20354
server,1,33,rsa_decrypt,15173
server,1,33,ecdsa_verify_with_sha256,21714
client,1,34,rsa_verify_with_sha256,629
client,1,34,rsa_encrypt,891
client,1,34,ecdsa_sign_with_sha256,10269
server,1,34,ecdsa_verify_with_sha256,24559
server,1,34,rsa_decrypt,16992
server,1,34,ecdsa_verify_with_sha256,21515
client,1,35,rsa_verify_with_sha256,490
client,1,35,rsa_encrypt,1037
client,1,35,ecdsa_sign_with_sha256,11753
server,1,35,ecdsa_verify_with_sha256,26935
server,1,35,rsa_decrypt,16508
server,1,35,ecdsa_verify_with_sha256,20686
client,1,36,rsa_verify_with_sha256,509
client,1,36,rsa_encrypt,835
client,1,36,ecdsa_sign_with_sha256,18715
server,1,36,ecdsa_verify_with_sha256,32343
server,1,36,rsa_decrypt,16550
server,1,36,ecdsa_verify_with_sha256,20339
client,1,37,rsa_verify_with_sha256,565
client,1,37,rsa_encrypt,881
client,1,37,ecdsa_sign_with_sha256,20022
server,1,37,ecdsa_verify_with_sha256,30715
server,1,37,rsa_decrypt,15633
server,1,37,ecdsa_verify_with_sha256,19877
client,1,38,rsa_verify_with_sha256,460
client,1,38,rsa_encrypt,853
client,1,38,ecdsa_sign_with_sha256,10283
server,1,38,ecdsa_verify_with_sha256,20518
server,1,38,rsa_decrypt,15243
server,1,38,ecdsa_verify_with_sha256,19788
client,1,39,rsa_verify_with_sha256,473
client,1,39,rsa_encrypt,854
client,1,39,ecdsa_sign_with_sha256,10079
server,1,39,ecdsa_verify_with_sha256,20280
server,1,39,rsa_decrypt,15110
server,1,39,ecdsa_verify_with_sha256,19881
client,1,40,rsa_verify_with_sha256,481
client,1,40,rsa_encrypt,809
client,1,40,ecdsa_sign_with_sha256,12225
server,1,40,ecdsa_verify_with_sha256,22719
server,1,40,rsa_decrypt,14867
server,1,40,ecdsa_verify_with_sha256,21409
client,1,41,rsa_verify_with_sha256,489
client,1,41,rsa_encrypt,844
client,1,41,ecdsa_sign_with_sha256,10985
server,1,41,ecdsa_verify_with_sha256,20818
server,1,41,rsa_decrypt,14941
server,1,41,ecdsa_verify_with_sha256,19960
client,1,42,rsa_verify_with_sha256,492
client,1,42,rsa_encrypt,790
client,1,42,ecdsa_sign_with_sha256,10096
server,1,42,ecdsa_verify_with_sha256,20366
server,1,42,rsa_decrypt,15159
server,1,42,ecdsa_verify_with_sha256,19841
client,1,43,rsa_verify_with_sha256,635
client,1,43,rsa_encrypt,800
client,1,43,ecdsa_sign_with_sha256,10309
server,1,43,ecdsa_verify_with_sha256,20581
server,1,43,rsa_decrypt,14960
server,1,43,ecdsa_verify_with_sha256,20028
client,1,44,rsa_verify_with_sha256,439
client,1,44,rsa_encrypt,819
client,1,44,ecdsa_sign_with_sha256,10104
server,1,44,ecdsa_verify_with_sha256,20841
server,1,44,rsa_decrypt,15304
server,1,44,ecdsa_verify_with_sha256,20317
client,1,45,rsa_verify_with_sha256,469
client,1,45,rsa_encrypt,835
client,1,45,ecdsa_sign_with_sha256,10304
server,1,45,ecdsa_verify_with_sha256,20422
server,1,45,rsa_decrypt,14972
server,1,45,ecdsa_verify_with_sha256,19783
client,1,46,rsa_verify_with_sha256,575
client,1,46,rsa_encrypt,794
client,1,46,ecdsa_sign_with_sha256,10039
server,1,46,ecdsa_verify_with_sha256,20722
server,1,46,rsa_decrypt,15092
server,1,46,ecdsa_verify_with_sha256,19676
client,1,47,rsa_verify_with_sha256,575
client,1,47,rsa_encrypt,878
client,1,47,ecdsa_sign_with_sha256,10146
server,1,47,ecdsa_verify_with_sha256,20236
server,1,47,rsa_decrypt,15147
server,1,47,ecdsa_verify_with_sha256,19945
client,1,48,rsa_verify_with_sha256,452
client,1,48,rsa_encrypt,808
client,1,48,ecdsa_sign_with_sha256,10115
server,1,48,ecdsa_verify_with_sha256,20720
server,1,48,rsa_decrypt,14989
server,1,48,ecdsa_verify_with_sha256,19833
client,1,49,rsa_verify_with_sha256,486
client,1,49,rsa_encrypt,857
client,1,49,ecdsa_sign_with_sha256,10152
server,1,49,ecdsa_verify_with_sha256,20452
server,1,49,rsa_decrypt,15015
server,1,49,ecdsa_verify_with_sha256,19776
client,1,50,rsa_verify_with_sha256,496
client,1,50,rsa_encrypt,818
client,1,50,ecdsa_sign_with_sha256,10350
server,1,50,ecdsa_verify_with_sha256,20775
server,1,50,rsa_decrypt,14993
server,1,50,ecdsa_verify_with_sha256,19495
client,1,51,rsa_verify_with_sha256,442
client,1,51,rsa_encrypt,803
client,1,51,ecdsa_sign_with_sha256,10123
server,1,51,ecdsa_verify_with_sha256,20293
server,1,51,rsa_decrypt,14950
server,1,51,ecdsa_verify_with_sha256,19626
client,1,52,rsa_verify_with_sha256,446
client,1,52,rsa_encrypt,793
client,1,52,ecdsa_sign_with_sha256,10126
server,1,52,ecdsa_verify_with_sha256,20670
server,1,52,rsa_decrypt,15042
server,1,52,ecdsa_verify_with_sha256,19742
client,1,53,rsa_verify_with_sha256,465
