msglen,time
1024,927
1024,869
1024,893
1024,898
1024,961
1024,811
1024,659
1024,942
1024,733
1024,1272
1024,796
1024,667
1024,784
1024,759
1024,1147
1024,893
1024,686
1024,1124
1024,1415
1024,1729
1024,770
1024,1031
1024,913
1024,737
1024,837
