endpoint,data_size,time
server,1048576,1552
client,1048576,2052
server,1048576,1645
client,1048576,2139
server,1048576,1643
client,1048576,2148
server,1048576,1699
client,1048576,2248
server,1048576,1647
client,1048576,2153
server,1048576,1635
client,1048576,2126
server,1048576,1766
client,1048576,2324
server,1048576,1722
client,1048576,2246
server,1048576,1618
client,1048576,2134
server,1048576,1904
client,1048576,2510
server,1048576,1642
client,1048576,2139
server,1048576,1627
client,1048576,2128
server,1048576,1594
client,1048576,2108
server,1048576,1762
client,1048576,2276
server,1048576,1665
client,1048576,2193
server,1048576,1609
client,1048576,2126
server,1048576,1634
client,1048576,2202
server,1048576,1635
client,1048576,2169
server,1048576,1603
client,1048576,2134
server,1048576,2063
client,1048576,2762
server,1048576,2465
client,1048576,3169
server,1048576,1618
client,1048576,2175
server,1048576,1667
client,1048576,2247
server,1048576,1640
client,1048576,2195
server,1048576,1607
client,1048576,2144
server,1048576,1595
client,1048576,2123
server,1048576,1795
client,1048576,2385
server,1048576,2034
client,1048576,2516
server,1048576,1730
client,1048576,2413
server,1048576,1667
client,1048576,2163
server,1048576,1590
client,1048576,2114
server,1048576,1610
client,1048576,2147
server,1048576,1986
client,1048576,2619
server,1048576,1737
client,1048576,2479
server,1048576,1891
client,1048576,2651
server,1048576,1735
client,1048576,2376
server,1048576,1931
client,1048576,2489
server,1048576,1730
client,1048576,2287
server,1048576,1613
client,1048576,2152
server,1048576,1651
client,1048576,2205
server,1048576,1749
client,1048576,2339
server,1048576,1683
client,1048576,2264
server,1048576,1732
client,1048576,2309
server,1048576,1732
client,1048576,2281
server,1048576,1892
client,1048576,2546
server,1048576,1615
client,1048576,2124
server,1048576,1850
client,1048576,2396
server,1048576,1730
client,1048576,2255
server,1048576,1758
client,1048576,2266
server,1048576,1703
client,1048576,2229
server,1048576,1910
client,1048576,2418
server,1048576,1924
client,1048576,2498
server,1048576,1819
client,1048576,2298
server,1048576,1602
client,1048576,2141
server,1048576,1628
client,1048576,2134
server,1048576,1691
client,1048576,2243
server,1048576,1615
client,1048576,2111
server,1048576,1780
client,1048576,2298
server,1048576,1674
client,1048576,2215
server,1048576,2413
client,1048576,2984
server,1048576,1566
client,1048576,2094
server,1048576,1848
client,1048576,2617
server,1048576,1729
client,1048576,2234
server,1048576,2119
client,1048576,2617
server,1048576,1725
client,1048576,2260
server,1048576,1751
client,1048576,2239
server,1048576,2546
client,1048576,3174
server,1048576,1828
client,1048576,2336
server,1048576,1609
client,1048576,2095
server,1048576,1625
client,1048576,2163
server,1048576,2029
client,1048576,2510
server,1048576,1823
client,1048576,2389
server,1048576,1682
client,1048576,2189
server,1048576,1643
client,1048576,2146
server,1048576,1774
client,1048576,2299
server,1048576,1691
client,1048576,2180
server,1048576,1616
client,1048576,2134
server,1048576,1646
client,1048576,2188
server,1048576,1608
client,1048576,2103
server,1048576,1777
client,1048576,2304
server,1048576,1630
client,1048576,2145
server,1048576,1605
client,1048576,2164
server,1048576,1831
client,1048576,2353
server,1048576,2118
client,1048576,2645
server,1048576,1845
client,1048576,2354
server,1048576,1595
client,1048576,2138
server,1048576,1580
client,1048576,2108
server,1048576,1584
client,1048576,2103
server,1048576,1611
client,1048576,2156
server,1048576,1644
client,1048576,2169
server,1048576,1612
client,1048576,2146
server,1048576,1720
client,1048576,2279
server,1048576,1694
client,1048576,2241
server,1048576,1562
client,1048576,2082
server,1048576,1665
client,1048576,2191
server,1048576,1603
client,1048576,2224
server,1048576,2245
client,1048576,2986
server,1048576,1710
client,1048576,2253
server,1048576,1873
client,1048576,2523
server,1048576,2216
client,1048576,2828
server,1048576,1706
client,1048576,2218
server,1048576,1679
client,1048576,2248
server,1048576,1634
client,1048576,2181
server,1048576,1851
client,1048576,2558
server,1048576,1635
client,1048576,2172
server,1048576,1615
client,1048576,2160
server,1048576,1684
client,1048576,2245
server,1048576,1643
client,1048576,2177
server,1048576,1846
client,1048576,2375
server,1048576,1834
client,1048576,2309
server,1048576,1713
client,1048576,2210
server,1048576,1779
client,1048576,2376
server,1048576,1669
client,1048576,2170
server,1048576,1732
client,1048576,2221
server,1048576,1746
client,1048576,2257
server,1048576,2037
client,1048576,2564
server,1048576,1742
client,1048576,2304
server,1048576,1599
client,1048576,2100
server,1048576,2234
client,1048576,2785
server,1048576,1639
client,1048576,2367
server,1048576,2880
client,1048576,3841
server,1048576,1743
client,1048576,2217
server,1048576,2013
client,1048576,2538
server,1048576,1701
client,1048576,2460
server,1048576,2089
client,1048576,2636
server,1048576,2010
client,1048576,2298
server,1048576,1749
client,1048576,2285
server,1048576,1670
client,1048576,2176
server,1048576,2094
client,1048576,2929
server,1048576,1679
client,1048576,2208
server,1048576,1624
client,1048576,2129
server,1048576,1798
client,1048576,2307
server,1048576,1635
client,1048576,2148
server,1048576,2023
client,1048576,2624
server,1048576,1621
client,1048576,2110
server,1048576,1698
client,1048576,2275
server,1048576,1609
client,1048576,2139
server,1048576,1781
client,1048576,2351
server,1048576,1711
client,1048576,2201
server,1048576,2195
client,1048576,2772
server,1048576,1744
client,1048576,2283
server,1048576,1655
client,1048576,2210
server,1048576,1850
client,1048576,2333
server,1048576,1578
client,1048576,2070
server,1048576,1719
client,1048576,2236
server,1048576,1751
client,1048576,2243
server,1048576,1886
client,1048576,2407
server,1048576,1737
client,1048576,2304
server,1048576,1600
client,1048576,2158
server,1048576,1676
client,1048576,2226
server,1048576,2467
client,1048576,3090
server,1048576,1773
client,1048576,2318
server,1048576,1966
client,1048576,2568
server,1048576,1731
client,1048576,2289
server,1048576,1677
client,1048576,2187
server,1048576,1690
client,1048576,2234
server,1048576,1674
client,1048576,2266
server,1048576,1644
client,1048576,2212
server,1048576,1671
client,1048576,2228
server,1048576,1768
client,1048576,2365
server,1048576,2020
client,1048576,2589
server,1048576,1701
client,1048576,2242
server,1048576,1850
client,1048576,2417
server,1048576,1978
client,1048576,2768
server,1048576,1891
client,1048576,2568
server,1048576,2034
client,1048576,2642
server,1048576,1738
client,1048576,2330
server,1048576,2033
client,1048576,2668
server,1048576,1675
client,1048576,2214
server,1048576,1769
client,1048576,2387
server,1048576,1678
client,1048576,2204
server,1048576,1876
client,1048576,2411
server,1048576,1690
client,1048576,2241
server,1048576,1591
client,1048576,2099
server,1048576,1798
client,1048576,2329
server,1048576,1656
client,1048576,2138
server,1048576,1798
client,1048576,2394
server,1048576,1654
client,1048576,2157
server,1048576,1644
client,1048576,2153
server,1048576,2026
client,1048576,2674
server,1048576,1855
client,1048576,2425
server,1048576,1665
client,1048576,2351
server,1048576,2008
client,1048576,2530
server,1048576,1821
client,1048576,2352
server,1048576,1615
client,1048576,2167
server,1048576,1755
client,1048576,2298
server,1048576,1584
client,1048576,2117
server,1048576,1964
client,1048576,2593
server,1048576,1659
client,1048576,2426
server,1048576,2158
client,1048576,2897
server,1048576,1684
client,1048576,2230
server,1048576,1775
client,1048576,2313
server,1048576,1631
client,1048576,2160
server,1048576,1654
client,1048576,2171
server,1048576,1728
client,1048576,2279
server,1048576,1621
client,1048576,2131
server,1048576,2466
client,1048576,3098
server,1048576,1822
client,1048576,2305
server,1048576,1667
client,1048576,2221
server,1048576,1786
client,1048576,2305
server,1048576,1939
client,1048576,2486
server,1048576,1776
client,1048576,2326
server,1048576,1624
client,1048576,2150
server,1048576,1911
client,1048576,2515
server,1048576,1675
client,1048576,2210
server,1048576,1601
client,1048576,2162
server,1048576,1591
client,1048576,2132
server,1048576,1664
client,1048576,2207
server,1048576,1660
client,1048576,2231
server,1048576,1667
client,1048576,2281
server,1048576,1720
client,1048576,2268
server,1048576,2129
client,1048576,2874
server,1048576,1587
client,1048576,2148
server,1048576,2760
client,1048576,3476
server,1048576,1600
client,1048576,2110
server,1048576,1658
client,1048576,2186
server,1048576,1647
client,1048576,2199
server,1048576,2051
client,1048576,2644
server,1048576,1595
client,1048576,2114
server,1048576,1909
