endpoint,keylen,test_id,operation,time
client,1,0,rsa_verify_with_sha256,656
server,1,0,ecdh_make_params,62392
server,1,0,rsa_sign_with_sha512,21244
client,1,0,parse_server_ecdh_params,6
server,1,0,rsa_verify_with_sha512,546
server,1,0,ecdsa_verify_with_sha256,20151
client,1,0,ecdh_make_public,60813
client,1,0,ecdh_calc_secret,59802
server,1,0,ecdh_read_public,4
client,1,0,ecdsa_sign_with_sha256,10346
server,1,0,ecdh_calc_secret,61117
server,1,0,ecdsa_verify_with_sha256,19461
server,1,1,ecdh_setup,2
client,1,1,rsa_verify_with_sha256,440
server,1,1,ecdh_make_params,61059
server,1,1,rsa_sign_with_sha512,15180
client,1,1,parse_server_ecdh_params,7
server,1,1,rsa_verify_with_sha512,541
server,1,1,ecdsa_verify_with_sha256,20455
client,1,1,ecdh_make_public,61540
client,1,1,ecdh_calc_secret,60800
server,1,1,ecdh_read_public,4
client,1,1,ecdsa_sign_with_sha256,12785
server,1,1,ecdh_calc_secret,61148
server,1,1,ecdsa_verify_with_sha256,19894
server,1,2,ecdh_setup,3
client,1,2,rsa_verify_with_sha256,458
server,1,2,ecdh_make_params,61734
server,1,2,rsa_sign_with_sha512,15780
client,1,2,parse_server_ecdh_params,8
server,1,2,rsa_verify_with_sha512,521
server,1,2,ecdsa_verify_with_sha256,20073
client,1,2,ecdh_make_public,61196
client,1,2,ecdh_calc_secret,59941
server,1,2,ecdh_read_public,4
client,1,2,ecdsa_sign_with_sha256,12809
server,1,2,ecdh_calc_secret,60845
server,1,2,ecdsa_verify_with_sha256,19615
server,1,3,ecdh_setup,2
client,1,3,rsa_verify_with_sha256,446
server,1,3,ecdh_make_params,61725
server,1,3,rsa_sign_with_sha512,15498
client,1,3,parse_server_ecdh_params,6
server,1,3,rsa_verify_with_sha512,582
server,1,3,ecdsa_verify_with_sha256,19974
client,1,3,ecdh_make_public,61344
client,1,3,ecdh_calc_secret,60450
server,1,3,ecdh_read_public,4
client,1,3,ecdsa_sign_with_sha256,15006
server,1,3,ecdh_calc_secret,64211
server,1,3,ecdsa_verify_with_sha256,19444
server,1,4,ecdh_setup,1
client,1,4,rsa_verify_with_sha256,465
server,1,4,ecdh_make_params,61068
server,1,4,rsa_sign_with_sha512,15226
client,1,4,parse_server_ecdh_params,6
server,1,4,rsa_verify_with_sha512,607
server,1,4,ecdsa_verify_with_sha256,19841
client,1,4,ecdh_make_public,61838
client,1,4,ecdh_calc_secret,60331
server,1,4,ecdh_read_public,3
client,1,4,ecdsa_sign_with_sha256,13025
server,1,4,ecdh_calc_secret,61295
server,1,4,ecdsa_verify_with_sha256,21345
server,1,5,ecdh_setup,2
client,1,5,rsa_verify_with_sha256,662
server,1,5,ecdh_make_params,61394
server,1,5,rsa_sign_with_sha512,15108
client,1,5,parse_server_ecdh_params,8
server,1,5,rsa_verify_with_sha512,531
server,1,5,ecdsa_verify_with_sha256,19971
client,1,5,ecdh_make_public,61709
client,1,5,ecdh_calc_secret,60407
server,1,5,ecdh_read_public,3
client,1,5,ecdsa_sign_with_sha256,10396
server,1,5,ecdh_calc_secret,61095
server,1,5,ecdsa_verify_with_sha256,19520
server,1,6,ecdh_setup,3
client,1,6,rsa_verify_with_sha256,470
server,1,6,ecdh_make_params,61654
server,1,6,rsa_sign_with_sha512,17118
client,1,6,parse_server_ecdh_params,7
server,1,6,rsa_verify_with_sha512,559
server,1,6,ecdsa_verify_with_sha256,20504
client,1,6,ecdh_make_public,61919
client,1,6,ecdh_calc_secret,60301
server,1,6,ecdh_read_public,4
client,1,6,ecdsa_sign_with_sha256,10310
