endpoint,min_input,max_input,cycles,time
client,32,8192,729104926,281182
server,32,8192,92738645,35765
client,32,8192,718683659,277163
server,32,8192,93355779,36004
client,32,8192,722044187,278459
server,32,8192,91252856,35193
client,32,8192,752110022,290055
server,32,8192,91919257,35450
client,32,8192,735597798,283687
server,32,8192,95326459,36763
client,32,8192,731296011,282028
server,32,8192,91574388,35316
client,32,8192,743664621,286797
server,32,8192,83893922,32355
client,32,8192,733323737,282809
server,32,8192,79866993,30802
client,32,8192,734793968,283377
server,32,8192,87171474,33618
client,32,8192,733165564,282748
server,32,8192,94437060,36420
client,32,8192,736912449,284193
server,32,8192,96018790,37030
client,32,8192,731132652,281963
server,32,8192,97006723,37412
client,32,8192,724515316,279412
server,32,8192,115870798,44687
client,32,8192,764289343,294752
server,32,8192,100084614,38599
client,32,8192,743146021,286599
server,32,8192,103657768,39977
client,32,8192,724904266,279562
server,32,8192,98500291,37987
client,32,8192,735385172,283604
server,32,8192,90578676,34933
client,32,8192,734039405,283085
server,32,8192,98119120,37840
client,32,8192,738110415,284656
server,32,8192,79366544,30608
client,32,8192,741245352,285864
server,32,8192,89582964,34548
client,32,8192,732608069,282533
server,32,8192,110272511,42529
client,32,8192,725158380,279661
server,32,8192,89261432,34425
client,32,8192,731863878,282246
server,32,8192,90729070,34990
client,32,8192,734210543,283152
server,32,8192,78923141,30437
client,32,8192,703714270,271375
server,32,8192,60250948,23237
client,32,8192,735595205,283685
server,32,8192,94341119,36384
client,32,8192,403315220,155541
server,32,8192,102921356,39692
client,32,8192,410982721,158497
server,32,8192,94535594,36459
client,32,8192,402871817,155369
server,32,8192,50690557,19549
client,32,8192,731967598,282286
server,32,8192,102330152,39465
client,32,8192,405565944,156408
server,32,8192,95544271,36848
client,32,8192,734049777,283090
server,32,8192,91027265,35105
client,32,8192,727406511,280528
server,32,8192,95583166,36863
client,32,8192,731275267,282019
server,32,8192,88089396,33973
client,32,8192,722941365,278805
server,32,8192,97281581,37517
client,32,8192,723685556,279092
server,32,8192,101015501,38957
client,32,8192,734244252,283165
server,32,8192,82506667,31819
client,32,8192,722215325,278525
server,32,8192,83409031,32169
client,32,8192,732706603,282571
server,32,8192,52388972,20205
client,32,8192,730818899,281843
server,32,8192,46591024,17970
client,32,8192,742360342,286297
server,32,8192,91522528,35296
client,32,8192,691713866,266762
server,32,8192,88226825,34026
client,32,8192,657143990,253430
server,32,8192,94623756,36493
client,32,8192,731267488,282017
server,32,8192,25136542,9695
client,32,8192,730162870,281589
server,32,8192,86777338,33467
client,32,8192,682609843,263251
server,32,8192,28937880,11161
client,32,8192,741276468,285876
server,32,8192,88286464,34048
client,32,8192,726019256,279993
server,32,8192,29002705,11186
client,32,8192,737555513,284441
server,32,8192,92217452,35564
client,32,8192,709672984,273688
server,32,8192,91613283,35333
client,32,8192,694340575,267776
server,32,8192,92248568,35577
client,32,8192,726377090,280131
server,32,8192,28875648,11138
client,32,8192,726574158,280208
server,32,8192,64586444,24909
client,32,8192,723568871,279048
server,32,8192,28984554,11179
client,32,8192,733271877,282790
server,32,8192,66850133,25783
client,32,8192,736059352,283874
server,32,8192,86245773,33262
client,32,8192,723612952,279074
server,32,8192,90220842,34794
client,32,8192,731386766,282064
server,32,8192,86243180,33260
client,32,8192,726115197,280030
server,32,8192,29591316,11414
client,32,8192,733494875,282877
server,32,8192,64617560,24920
client,32,8192,739471740,285180
server,32,8192,28333711,10927
client,32,8192,746973289,288073
server,32,8192,89538883,34531
client,32,8192,717996514,276899
server,32,8192,29531677,11389
client,32,8192,736977274,284218
server,32,8192,92624553,35722
client,32,8192,732073911,282327
server,32,8192,32150607,12399
client,32,8192,741240166,285863
server,32,8192,90672024,34969
client,32,8192,728088470,280791
server,32,8192,32135049,12394
client,32,8192,754604488,291016
server,32,8192,25694037,9909
client,32,8192,733201866,282762
server,32,8192,28769335,11095
client,32,8192,736845031,284167
server,32,8192,91851839,35424
client,32,8192,682615029,263254
server,32,8192,27566183,10632
client,32,8192,737633303,284472
server,32,8192,90887243,35051
client,32,8192,722472032,278624
server,32,8192,47483016,18313
client,32,8192,725905164,279949
server,32,8192,28380385,10945
