endpoint,data_size,time
server,1048576,90504
client,1048576,91116
server,1048576,89951
client,1048576,90526
server,1048576,90041
client,1048576,90634
server,1048576,90154
client,1048576,90719
server,1048576,89292
client,1048576,89936
server,1048576,89930
client,1048576,90509
server,1048576,89709
client,1048576,90313
server,1048576,89665
client,1048576,90356
server,1048576,89562
client,1048576,90152
server,1048576,90688
client,1048576,91285
server,1048576,90683
client,1048576,91326
server,1048576,89351
client,1048576,89950
server,1048576,90616
client,1048576,91271
server,1048576,91620
client,1048576,92259
server,1048576,90790
client,1048576,91415
server,1048576,90109
client,1048576,90836
server,1048576,89881
client,1048576,90813
server,1048576,98608
client,1048576,99278
server,1048576,90640
client,1048576,91223
server,1048576,89314
client,1048576,89858
server,1048576,90765
client,1048576,91370
server,1048576,92606
client,1048576,93204
server,1048576,89590
client,1048576,90201
server,1048576,89494
client,1048576,90106
server,1048576,91936
client,1048576,92549
server,1048576,89616
client,1048576,90170
server,1048576,89757
client,1048576,90502
server,1048576,91077
client,1048576,91641
server,1048576,90766
client,1048576,91365
server,1048576,91735
client,1048576,92361
server,1048576,89520
client,1048576,90169
server,1048576,89041
client,1048576,89710
server,1048576,92105
client,1048576,92696
server,1048576,90964
client,1048576,91635
server,1048576,91099
client,1048576,91827
server,1048576,89860
client,1048576,90484
server,1048576,90329
client,1048576,90933
server,1048576,92150
client,1048576,92730
server,1048576,90584
client,1048576,91213
server,1048576,89944
client,1048576,90573
server,1048576,88962
client,1048576,89616
server,1048576,89995
client,1048576,90871
server,1048576,89812
client,1048576,90444
server,1048576,91436
client,1048576,92147
server,1048576,91140
client,1048576,91731
server,1048576,91727
client,1048576,92307
server,1048576,89639
client,1048576,90212
server,1048576,90039
client,1048576,90637
server,1048576,91262
client,1048576,91876
server,1048576,90638
client,1048576,91252
server,1048576,90478
client,1048576,91075
server,1048576,90546
client,1048576,91140
server,1048576,89555
client,1048576,90377
server,1048576,92766
client,1048576,93459
server,1048576,89667
client,1048576,90253
server,1048576,91909
client,1048576,92501
server,1048576,89599
client,1048576,90171
server,1048576,92028
client,1048576,92597
server,1048576,90600
client,1048576,91165
server,1048576,90137
client,1048576,90748
server,1048576,90510
client,1048576,91073
server,1048576,91305
client,1048576,91897
server,1048576,89354
client,1048576,89947
server,1048576,90318
client,1048576,90885
server,1048576,90445
client,1048576,91054
server,1048576,90726
client,1048576,91364
server,1048576,91432
client,1048576,92008
server,1048576,90137
client,1048576,90776
server,1048576,89732
client,1048576,90347
server,1048576,91652
client,1048576,92261
server,1048576,89851
client,1048576,90486
server,1048576,89453
client,1048576,90068
server,1048576,89984
client,1048576,90554
server,1048576,90044
client,1048576,90649
server,1048576,90460
client,1048576,91097
server,1048576,90540
client,1048576,91228
server,1048576,90381
client,1048576,91128
server,1048576,89516
client,1048576,90270
server,1048576,90389
client,1048576,90968
server,1048576,90814
client,1048576,91754
server,1048576,89613
client,1048576,90211
server,1048576,91107
client,1048576,91671
server,1048576,90110
client,1048576,90768
server,1048576,90527
client,1048576,91049
server,1048576,90212
client,1048576,90910
server,1048576,90875
client,1048576,91464
server,1048576,90890
client,1048576,91688
server,1048576,91480
client,1048576,92056
server,1048576,89387
client,1048576,90115
server,1048576,89767
client,1048576,90397
server,1048576,91214
client,1048576,91849
server,1048576,89822
client,1048576,90450
server,1048576,90182
client,1048576,90784
server,1048576,90034
client,1048576,90657
server,1048576,90468
client,1048576,91074
server,1048576,90010
client,1048576,90629
server,1048576,89500
client,1048576,90132
server,1048576,89457
client,1048576,90065
server,1048576,90677
client,1048576,91261
server,1048576,88929
client,1048576,89740
server,1048576,90449
client,1048576,91054
server,1048576,90088
client,1048576,90669
server,1048576,90529
client,1048576,91157
server,1048576,90249
client,1048576,90889
server,1048576,92058
client,1048576,92822
server,1048576,90785
client,1048576,91534
server,1048576,89822
client,1048576,90436
server,1048576,89609
client,1048576,90260
server,1048576,340586
client,1048576,341180
server,1048576,89599
client,1048576,90204
server,1048576,89836
client,1048576,90594
server,1048576,90414
client,1048576,90989
server,1048576,90726
client,1048576,91336
server,1048576,89401
client,1048576,90167
server,1048576,90642
client,1048576,91274
server,1048576,89701
client,1048576,90485
server,1048576,89669
client,1048576,90234
server,1048576,89376
client,1048576,90011
server,1048576,89903
client,1048576,90509
server,1048576,89655
client,1048576,90239
server,1048576,90105
client,1048576,90709
server,1048576,90497
client,1048576,91094
server,1048576,90406
client,1048576,90940
server,1048576,90492
client,1048576,91210
server,1048576,90281
client,1048576,90876
server,1048576,338176
client,1048576,338876
server,1048576,90413
client,1048576,91019
server,1048576,90979
client,1048576,91777
server,1048576,90892
client,1048576,91486
server,1048576,90263
client,1048576,90806
server,1048576,91444
client,1048576,92039
server,1048576,89840
client,1048576,90385
server,1048576,89183
client,1048576,89732
server,1048576,90147
client,1048576,90821
server,1048576,91400
client,1048576,92011
server,1048576,91344
client,1048576,91920
server,1048576,91196
client,1048576,91830
server,1048576,90187
client,1048576,90807
server,1048576,90718
client,1048576,91283
server,1048576,89740
client,1048576,90572
server,1048576,90944
client,1048576,91545
server,1048576,89873
client,1048576,90437
server,1048576,89787
client,1048576,90456
server,1048576,90873
client,1048576,91455
server,1048576,91735
client,1048576,92324
server,1048576,91789
client,1048576,92397
server,1048576,90280
client,1048576,90889
server,1048576,91257
client,1048576,91849
server,1048576,93444
client,1048576,94059
server,1048576,90329
client,1048576,91014
server,1048576,91453
client,1048576,92022
server,1048576,345968
client,1048576,346592
server,1048576,90740
client,1048576,91397
server,1048576,90201
client,1048576,90834
server,1048576,89849
client,1048576,90434
server,1048576,89448
client,1048576,90136
server,1048576,90376
client,1048576,90953
server,1048576,92703
client,1048576,93315
server,1048576,90219
client,1048576,90854
server,1048576,91514
client,1048576,92119
server,1048576,90031
client,1048576,90677
server,1048576,89330
client,1048576,90005
server,1048576,91202
client,1048576,91812
server,1048576,90359
client,1048576,90998
server,1048576,91069
client,1048576,91661
server,1048576,90451
client,1048576,91170
server,1048576,90831
client,1048576,91427
server,1048576,90609
client,1048576,91347
server,1048576,91603
client,1048576,92202
server,1048576,90979
client,1048576,91584
server,1048576,88999
client,1048576,89601
server,1048576,90882
client,1048576,91626
server,1048576,90922
client,1048576,91552
server,1048576,91564
client,1048576,92185
server,1048576,90193
client,1048576,90810
server,1048576,90041
client,1048576,90659
server,1048576,90081
client,1048576,90682
server,1048576,89951
client,1048576,90629
server,1048576,92820
client,1048576,93419
server,1048576,89756
client,1048576,90446
server,1048576,89790
client,1048576,90488
server,1048576,89507
client,1048576,90184
server,1048576,89986
client,1048576,90552
server,1048576,90380
client,1048576,90972
server,1048576,91140
client,1048576,91740
server,1048576,90461
client,1048576,91115
server,1048576,90768
client,1048576,91368
server,1048576,90450
client,1048576,91024
server,1048576,90664
client,1048576,91271
server,1048576,89281
client,1048576,89863
server,1048576,91890
client,1048576,92540
server,1048576,90073
client,1048576,90862
server,1048576,89922
client,1048576,90555
server,1048576,91384
client,1048576,91966
server,1048576,90333
client,1048576,90912
server,1048576,90602
client,1048576,91269
server,1048576,92324
client,1048576,92858
server,1048576,89970
client,1048576,90537
server,1048576,90606
client,1048576,91279
server,1048576,89833
client,1048576,90444
server,1048576,91061
client,1048576,91628
server,1048576,89968
client,1048576,90591
server,1048576,90959
client,1048576,91553
server,1048576,89909
client,1048576,90441
server,1048576,95964
client,1048576,96591
server,1048576,91462
client,1048576,92031
server,1048576,90317
client,1048576,90911
server,1048576,91209
client,1048576,91775
server,1048576,91854
client,1048576,92833
server,1048576,90327
client,1048576,90884
server,1048576,89456
client,1048576,90038
server,1048576,93184
client,1048576,93740
server,1048576,90783
client,1048576,91448
server,1048576,90442
client,1048576,90979
server,1048576,90474
client,1048576,91100
server,1048576,90214
client,1048576,90870
server,1048576,90814
client,1048576,91441
server,1048576,89584
client,1048576,90213
server,1048576,89590
client,1048576,90230
server,1048576,89740
client,1048576,90383
server,1048576,89875
client,1048576,90483
server,1048576,90776
client,1048576,91430
server,1048576,90261
client,1048576,90887
server,1048576,89855
client,1048576,90550
server,1048576,90090
client,1048576,90704
server,1048576,90396
client,1048576,91021
server,1048576,90874
client,1048576,91485
server,1048576,89995
client,1048576,90634
server,1048576,90478
client,1048576,91104
server,1048576,94207
client,1048576,94852
server,1048576,90682
client,1048576,91299
server,1048576,90325
client,1048576,90914
server,1048576,91286
client,1048576,91902
server,1048576,92047
client,1048576,92683
server,1048576,91673
client,1048576,92292
server,1048576,91984
client,1048576,92911
server,1048576,93254
client,1048576,94065
server,1048576,90627
client,1048576,91346
server,1048576,92612
client,1048576,93193
server,1048576,91126
client,1048576,91714
server,1048576,93879
client,1048576,94529
server,1048576,89841
client,1048576,90688
server,1048576,93720
client,1048576,94296
server,1048576,91964
client,1048576,92625
server,1048576,91853
client,1048576,92404
server,1048576,91312
client,1048576,91922
server,1048576,91375
client,1048576,91962
server,1048576,92041
client,1048576,92581
server,1048576,91919
client,1048576,92524
server,1048576,93282
client,1048576,93881
server,1048576,90852
client,1048576,91458
server,1048576,91870
client,1048576,92474
server,1048576,90681
client,1048576,91246
server,1048576,346896
client,1048576,347488
server,1048576,90900
client,1048576,91743
server,1048576,96919
client,1048576,97480
server,1048576,90257
client,1048576,90802
server,1048576,91649
client,1048576,92202
server,1048576,90193
client,1048576,90890
server,1048576,89568
client,1048576,90558
server,1048576,91333
client,1048576,91961
server,1048576,91719
client,1048576,92345
server,1048576,93928
client,1048576,94476
server,1048576,91801
client,1048576,92381
server,1048576,91851
client,1048576,92398
server,1048576,90720
client,1048576,91323
server,1048576,90675
client,1048576,91280
server,1048576,90718
client,1048576,91326
server,1048576,91096
client,1048576,91668
server,1048576,90544
client,1048576,91175
server,1048576,90272
client,1048576,90900
server,1048576,91313
client,1048576,91922
server,1048576,90093
client,1048576,90950
server,1048576,90831
client,1048576,91426
server,1048576,90269
client,1048576,90919
server,1048576,91168
client,1048576,91827
server,1048576,92498
client,1048576,93123
server,1048576,91227
client,1048576,91854
server,1048576,91997
client,1048576,92607
server,1048576,90436
client,1048576,91013
server,1048576,90909
client,1048576,91514
server,1048576,90169
client,1048576,90743
server,1048576,90240
client,1048576,90872
server,1048576,91083
client,1048576,91821
server,1048576,89557
client,1048576,90192
server,1048576,90783
client,1048576,91419
server,1048576,89625
client,1048576,90298
server,1048576,93599
client,1048576,94222
server,1048576,89790
client,1048576,90387
server,1048576,88985
client,1048576,89744
server,1048576,90547
client,1048576,91180
server,1048576,88643
client,1048576,89299
server,1048576,89388
client,1048576,90133
server,1048576,91891
client,1048576,92947
server,1048576,92560
client,1048576,93602
server,1048576,91716
client,1048576,92344
server,1048576,90948
client,1048576,91548
server,1048576,90846
client,1048576,91479
server,1048576,89824
client,1048576,90468
server,1048576,90708
client,1048576,91335
server,1048576,90259
client,1048576,90880
server,1048576,90698
client,1048576,91572
server,1048576,90539
client,1048576,91186
server,1048576,90486
client,1048576,91156
server,1048576,92136
client,1048576,92734
server,1048576,90180
client,1048576,90808
server,1048576,89800
client,1048576,90471
server,1048576,90041
client,1048576,90617
server,1048576,89931
client,1048576,90525
server,1048576,90080
client,1048576,90749
server,1048576,91142
client,1048576,91748
server,1048576,91267
client,1048576,91894
server,1048576,90552
client,1048576,91169
server,1048576,91619
client,1048576,92245
server,1048576,93450
client,1048576,94024
server,1048576,89423
client,1048576,89979
server,1048576,89694
client,1048576,90329
server,1048576,90972
client,1048576,91632
server,1048576,90756
client,1048576,91367
server,1048576,90043
client,1048576,90617
server,1048576,91242
client,1048576,91825
server,1048576,90143
client,1048576,90882
server,1048576,90694
client,1048576,91292
server,1048576,91249
client,1048576,91819
server,1048576,90283
client,1048576,90902
server,1048576,89864
client,1048576,90418
