endpoint,data_size,time
server,1048576,93192
client,1048576,94665
server,1048576,94280
client,1048576,95717
server,1048576,92774
client,1048576,94668
server,1048576,95706
client,1048576,97135
server,1048576,95513
client,1048576,96920
server,1048576,92109
client,1048576,93520
server,1048576,93486
client,1048576,94983
server,1048576,93123
client,1048576,94705
server,1048576,93955
client,1048576,95412
server,1048576,93951
client,1048576,95598
server,1048576,93824
client,1048576,95247
server,1048576,93117
client,1048576,94555
server,1048576,94903
client,1048576,96369
server,1048576,94046
client,1048576,95451
server,1048576,92346
client,1048576,93871
server,1048576,93874
client,1048576,95605
server,1048576,94829
client,1048576,96541
server,1048576,92472
client,1048576,93931
server,1048576,94509
client,1048576,96027
server,1048576,91678
client,1048576,93190
server,1048576,95265
client,1048576,96733
server,1048576,92468
client,1048576,94041
server,1048576,93461
client,1048576,95022
server,1048576,93904
client,1048576,95406
server,1048576,93112
client,1048576,94596
server,1048576,93490
client,1048576,95470
server,1048576,93113
client,1048576,94555
server,1048576,92553
client,1048576,94028
server,1048576,94914
client,1048576,96388
server,1048576,93031
client,1048576,94643
server,1048576,93298
client,1048576,94931
server,1048576,93070
client,1048576,94668
server,1048576,91523
client,1048576,92970
server,1048576,92469
client,1048576,93920
server,1048576,93569
client,1048576,95080
server,1048576,93424
client,1048576,95451
server,1048576,93557
client,1048576,95107
server,1048576,92893
client,1048576,94374
server,1048576,92942
client,1048576,94418
server,1048576,91815
client,1048576,93274
server,1048576,92988
client,1048576,94607
server,1048576,93663
client,1048576,95357
server,1048576,92769
client,1048576,94299
server,1048576,92465
client,1048576,93914
server,1048576,95549
client,1048576,97042
server,1048576,95739
client,1048576,97265
server,1048576,94068
client,1048576,95489
server,1048576,92571
client,1048576,94034
server,1048576,349623
client,1048576,351050
server,1048576,92208
client,1048576,93638
server,1048576,93598
client,1048576,95215
server,1048576,92069
client,1048576,93517
server,1048576,92679
client,1048576,94174
server,1048576,92767
client,1048576,94218
server,1048576,93959
client,1048576,95436
server,1048576,94034
client,1048576,95698
server,1048576,92811
client,1048576,94239
server,1048576,92229
client,1048576,93659
server,1048576,94747
client,1048576,96209
server,1048576,92098
client,1048576,93569
server,1048576,96022
client,1048576,97451
server,1048576,94725
client,1048576,96246
server,1048576,93616
client,1048576,95068
server,1048576,95114
client,1048576,96538
server,1048576,92657
client,1048576,94081
server,1048576,92478
client,1048576,93976
server,1048576,94703
client,1048576,96243
server,1048576,342556
client,1048576,343992
server,1048576,92573
client,1048576,94017
server,1048576,92250
client,1048576,93697
server,1048576,92532
client,1048576,93975
server,1048576,92836
client,1048576,94272
server,1048576,93043
client,1048576,94511
server,1048576,93170
client,1048576,94627
server,1048576,92514
client,1048576,94068
server,1048576,94597
client,1048576,96056
server,1048576,92652
client,1048576,94182
server,1048576,92413
client,1048576,94113
server,1048576,92901
client,1048576,94382
server,1048576,92690
client,1048576,94276
server,1048576,93960
client,1048576,95432
server,1048576,92049
client,1048576,93633
server,1048576,94153
client,1048576,95648
server,1048576,95175
client,1048576,96685
server,1048576,92725
client,1048576,94204
server,1048576,92585
client,1048576,94046
server,1048576,94172
client,1048576,95838
server,1048576,93675
client,1048576,95127
server,1048576,92270
client,1048576,93773
server,1048576,92594
client,1048576,94107
server,1048576,91655
client,1048576,93146
server,1048576,93697
client,1048576,95271
server,1048576,91923
client,1048576,93410
server,1048576,91860
client,1048576,93350
server,1048576,92329
client,1048576,93860
server,1048576,92417
client,1048576,93872
server,1048576,92818
client,1048576,94477
server,1048576,93025
client,1048576,94498
server,1048576,92671
client,1048576,94134
server,1048576,93001
client,1048576,94518
server,1048576,93001
client,1048576,94489
server,1048576,94866
client,1048576,96586
server,1048576,94579
client,1048576,96067
server,1048576,93018
client,1048576,94607
server,1048576,92121
client,1048576,93591
server,1048576,92382
client,1048576,93863
server,1048576,94063
client,1048576,95530
server,1048576,92528
client,1048576,93958
server,1048576,97157
client,1048576,98636
server,1048576,93230
client,1048576,94668
server,1048576,92201
client,1048576,93687
server,1048576,92447
client,1048576,93999
server,1048576,94338
client,1048576,95893
server,1048576,93702
client,1048576,95156
server,1048576,92677
client,1048576,94116
server,1048576,92152
client,1048576,93593
server,1048576,93056
client,1048576,94575
server,1048576,92620
client,1048576,94037
