operation,msglen,time
encrypt,256,7
decrypt,256,13
encrypt,256,8
decrypt,256,9
encrypt,256,9
decrypt,256,9
encrypt,256,8
decrypt,256,18
encrypt,256,8
decrypt,256,9
encrypt,256,8
decrypt,256,9
encrypt,256,8
decrypt,256,8
encrypt,256,7
decrypt,256,9
encrypt,256,8
decrypt,256,9
encrypt,256,7
decrypt,256,9
encrypt,256,8
decrypt,256,10
encrypt,256,8
decrypt,256,18
encrypt,256,9
decrypt,256,9
encrypt,256,7
decrypt,256,9
encrypt,256,9
decrypt,256,14
encrypt,256,8
decrypt,256,9
encrypt,256,8
decrypt,256,19
encrypt,256,7
decrypt,256,8
encrypt,256,8
decrypt,256,19
encrypt,256,8
decrypt,256,18
encrypt,256,9
decrypt,256,9
encrypt,256,8
decrypt,256,8
encrypt,256,9
decrypt,256,10
encrypt,256,8
decrypt,256,9
encrypt,256,9
decrypt,256,13
encrypt,256,8
decrypt,256,9
encrypt,256,8
decrypt,256,8
encrypt,256,8
decrypt,256,14
encrypt,256,7
decrypt,256,9
encrypt,256,8
decrypt,256,17
encrypt,512,13
decrypt,512,14
encrypt,512,13
decrypt,512,14
encrypt,512,13
decrypt,512,13
encrypt,512,13
decrypt,512,13
encrypt,512,14
decrypt,512,13
encrypt,512,13
decrypt,512,14
encrypt,512,14
decrypt,512,23
encrypt,512,13
decrypt,512,13
encrypt,512,13
decrypt,512,24
encrypt,512,13
decrypt,512,14
encrypt,512,13
decrypt,512,33
encrypt,512,13
decrypt,512,13
encrypt,512,13
decrypt,512,13
encrypt,512,13
decrypt,512,13
encrypt,512,12
decrypt,512,24
encrypt,512,12
decrypt,512,24
encrypt,512,19
decrypt,512,26
encrypt,512,13
decrypt,512,14
encrypt,512,12
decrypt,512,14
encrypt,512,13
decrypt,512,14
encrypt,512,23
decrypt,512,23
encrypt,512,13
decrypt,512,13
encrypt,512,13
decrypt,512,14
encrypt,512,13
decrypt,512,13
encrypt,512,13
decrypt,512,14
encrypt,512,12
decrypt,512,13
encrypt,512,11
decrypt,512,13
encrypt,512,13
decrypt,512,13
encrypt,512,12
decrypt,512,13
encrypt,512,13
decrypt,512,13
encrypt,1024,21
decrypt,1024,22
encrypt,1024,21
decrypt,1024,33
encrypt,1024,22
decrypt,1024,22
encrypt,1024,22
decrypt,1024,21
encrypt,1024,23
decrypt,1024,22
encrypt,1024,23
decrypt,1024,21
encrypt,1024,23
decrypt,1024,22
encrypt,1024,23
decrypt,1024,34
encrypt,1024,23
decrypt,1024,32
encrypt,1024,21
decrypt,1024,32
encrypt,1024,23
decrypt,1024,22
encrypt,1024,23
decrypt,1024,41
encrypt,1024,36
decrypt,1024,41
encrypt,1024,23
decrypt,1024,42
encrypt,1024,22
decrypt,1024,33
encrypt,1024,23
decrypt,1024,22
encrypt,1024,22
decrypt,1024,27
encrypt,1024,21
decrypt,1024,22
encrypt,1024,22
decrypt,1024,22
encrypt,1024,22
decrypt,1024,22
encrypt,1024,21
decrypt,1024,22
encrypt,1024,22
decrypt,1024,22
encrypt,1024,21
decrypt,1024,22
encrypt,1024,22
decrypt,1024,22
encrypt,1024,21
decrypt,1024,22
encrypt,1024,22
decrypt,1024,32
encrypt,1024,22
decrypt,1024,37
encrypt,1024,24
decrypt,1024,22
encrypt,1024,23
decrypt,1024,22
encrypt,1024,22
decrypt,1024,23
