sec_lvl,test_id,operation,cycles,time
2,15,get_ecdh_params_from_cert,7779,2
2,15,ecdh_make_public,66824203,25772
2,15,ecdh_calc_secret,4107312,1583
2,15,ecdsa_sign_with_sha256,129572210,49971
2,16,get_ecdh_params_from_cert,7779,2
2,16,ecdh_make_public,9757459,3762
2,16,ecdh_calc_secret,125114843,48252
2,16,ecdsa_sign_with_sha256,70646285,27245
2,17,get_ecdh_params_from_cert,7779,2
2,17,ecdh_make_public,63497384,24488
2,17,ecdh_calc_secret,70166580,27061
2,17,ecdsa_sign_with_sha256,68138854,26277
2,18,get_ecdh_params_from_cert,5186,2
2,18,ecdh_make_public,63684080,24559
2,18,ecdh_calc_secret,73571189,28374
2,18,ecdsa_sign_with_sha256,71159699,27443
2,19,get_ecdh_params_from_cert,7779,2
2,19,ecdh_make_public,63927822,24653
2,19,ecdh_calc_secret,0,0
2,19,ecdsa_sign_with_sha256,134436678,51846
3,0,get_ecdh_params_from_cert,7779,3
3,0,ecdh_make_public,192662493,74300
3,0,ecdh_calc_secret,185788450,71651
3,0,ecdsa_sign_with_sha256,184051140,70979
3,1,get_ecdh_params_from_cert,7779,2
3,1,ecdh_make_public,196069695,75615
3,1,ecdh_calc_secret,189322709,73013
3,1,ecdsa_sign_with_sha256,189244919,72982
3,2,get_ecdh_params_from_cert,7779,2
3,2,ecdh_make_public,195789651,75509
3,2,ecdh_calc_secret,173290190,66829
3,2,ecdsa_sign_with_sha256,195551095,75416
3,3,get_ecdh_params_from_cert,7779,2
3,3,ecdh_make_public,191062612,73683
3,3,ecdh_calc_secret,198125944,76409
3,3,ecdsa_sign_with_sha256,196295286,75703
3,4,get_ecdh_params_from_cert,7779,3
3,4,ecdh_make_public,198450069,76533
3,4,ecdh_calc_secret,185723625,71624
3,4,ecdsa_sign_with_sha256,197498438,76166
3,5,get_ecdh_params_from_cert,7779,2
3,5,ecdh_make_public,197026512,75984
3,5,ecdh_calc_secret,189128234,72938
3,5,ecdsa_sign_with_sha256,194135317,74869
3,6,get_ecdh_params_from_cert,5186,2
3,6,ecdh_make_public,196533842,75794
3,6,ecdh_calc_secret,192006464,74049
3,6,ecdsa_sign_with_sha256,194830241,75137
3,7,get_ecdh_params_from_cert,7779,2
3,7,ecdh_make_public,190494745,73464
3,7,ecdh_calc_secret,193162942,74495
3,7,ecdsa_sign_with_sha256,194583906,75042
3,8,get_ecdh_params_from_cert,7779,1
3,8,ecdh_make_public,199544315,76955
3,8,ecdh_calc_secret,189148978,72947
3,8,ecdsa_sign_with_sha256,193686728,74696
3,9,get_ecdh_params_from_cert,7779,2
3,9,ecdh_make_public,198146688,76416
3,9,ecdh_calc_secret,193240732,74524
