endpoint,min_input,max_input,cycles,time
client,32,8192,6689940,2581
server,32,8192,5995016,2312
client,32,8192,6897380,2661
server,32,8192,6796253,2622
client,32,8192,6306176,2433
server,32,8192,10270873,3961
client,32,8192,9293312,3584
server,32,8192,9492973,3663
client,32,8192,9000303,3473
server,32,8192,12557899,4843
client,32,8192,10091956,3892
server,32,8192,9236266,3564
client,32,8192,8087567,3119
server,32,8192,9985643,3851
client,32,8192,10281245,3964
server,32,8192,5880924,2268
client,32,8192,6954426,2684
server,32,8192,6923310,2669
client,32,8192,6643266,2562
server,32,8192,9241452,3565
client,32,8192,7869755,3035
server,32,8192,6223200,2401
client,32,8192,7278551,2819
server,32,8192,5603473,2161
client,32,8192,6625115,2555
server,32,8192,11095447,4280
client,32,8192,10825775,4175
server,32,8192,5613845,2165
client,32,8192,5764239,2223
server,32,8192,10237164,3949
client,32,8192,9705599,3744
server,32,8192,9985643,3852
client,32,8192,8912141,3437
server,32,8192,9539647,3680
client,32,8192,10421267,4020
server,32,8192,11569966,4462
client,32,8192,11466246,4422
server,32,8192,5896482,2276
client,32,8192,6651045,2565
server,32,8192,6513616,2512
client,32,8192,6565476,2535
server,32,8192,10244943,3952
client,32,8192,10063433,3882
server,32,8192,11642570,4490
client,32,8192,10146409,3914
server,32,8192,13602878,5247
client,32,8192,12508632,4824
server,32,8192,13465449,5193
client,32,8192,11263992,4344
server,32,8192,11958916,4613
client,32,8192,9998608,3858
server,32,8192,9666704,3726
client,32,8192,8318344,3207
server,32,8192,9327021,3598
client,32,8192,7989033,3081
server,32,8192,5818692,2244
client,32,8192,5707193,2201
server,32,8192,11914835,4595
client,32,8192,10605370,4091
server,32,8192,12187100,4701
client,32,8192,10639079,4104
server,32,8192,9186999,3543
client,32,8192,8481703,3271
server,32,8192,5486788,2117
client,32,8192,5644961,2177
server,32,8192,9726343,3755
client,32,8192,9350358,3607
server,32,8192,9034012,3484
client,32,8192,8463552,3264
server,32,8192,11787778,4547
client,32,8192,10779101,4157
server,32,8192,9070314,3499
client,32,8192,8787677,3390
server,32,8192,7063332,2723
client,32,8192,7548223,2911
server,32,8192,5717565,2205
client,32,8192,5766832,2225
server,32,8192,6456570,2490
client,32,8192,6907752,2665
server,32,8192,9747087,3760
client,32,8192,8422064,3248
server,32,8192,13722156,5293
client,32,8192,9415183,3632
server,32,8192,5940563,2293
client,32,8192,5725344,2208
server,32,8192,5276755,2035
client,32,8192,6166154,2379
server,32,8192,9620030,3711
client,32,8192,10333105,3986
server,32,8192,5818692,2244
client,32,8192,5829064,2249
server,32,8192,5313057,2051
client,32,8192,6000202,2315
server,32,8192,11100633,4282
client,32,8192,9832656,3792
server,32,8192,9661518,3727
client,32,8192,8746189,3373
server,32,8192,10369407,3999
client,32,8192,9596693,3701
server,32,8192,11562187,4460
client,32,8192,9669297,3729
server,32,8192,11188795,4315
client,32,8192,9972678,3846
server,32,8192,9710785,3745
client,32,8192,8105718,3126
server,32,8192,8873246,3423
client,32,8192,8842130,3409
server,32,8192,9529275,3677
client,32,8192,10823182,4174
server,32,8192,6308769,2433
client,32,8192,7400422,2854
server,32,8192,6135038,2366
client,32,8192,6441012,2485
server,32,8192,5494567,2120
client,32,8192,5406405,2086
server,32,8192,5676077,2189
client,32,8192,6347664,2448
server,32,8192,5759053,2222
client,32,8192,5613845,2165
server,32,8192,9319242,3594
client,32,8192,8442808,3256
server,32,8192,11639977,4490
client,32,8192,10138630,3910
server,32,8192,12135240,4680
client,32,8192,9116988,3516
server,32,8192,9290719,3584
client,32,8192,7931987,3059
server,32,8192,9503345,3665
client,32,8192,8699515,3355
server,32,8192,11243248,4336
client,32,8192,9863772,3804
server,32,8192,11287329,4354
client,32,8192,9876737,3809
server,32,8192,8795456,3393
client,32,8192,8012370,3090
server,32,8192,5256011,2029
client,32,8192,5523090,2131
server,32,8192,12871652,4965
client,32,8192,9109209,3513
server,32,8192,8787677,3390
client,32,8192,8492075,3275
server,32,8192,11404014,4399
client,32,8192,10519801,4057
server,32,8192,5419370,2092
client,32,8192,5948342,2294
server,32,8192,13340985,5145
client,32,8192,10677974,4119
server,32,8192,11502548,4438
client,32,8192,10465348,4036
server,32,8192,8201659,3163
client,32,8192,7737512,2985
server,32,8192,5556799,2143
client,32,8192,5709786,2203
server,32,8192,9907853,3822
client,32,8192,8295007,3199
server,32,8192,12194879,4704
client,32,8192,10071212,3884
server,32,8192,5530869,2135
client,32,8192,5883517,2270
server,32,8192,9233673,3562
client,32,8192,8435029,3254
server,32,8192,11746290,4531
client,32,8192,8800642,3395
server,32,8192,5538648,2137
client,32,8192,5533462,2135
server,32,8192,5318243,2051
client,32,8192,5302685,2045
server,32,8192,5564578,2145
client,32,8192,5471230,2110
server,32,8192,4729632,1826
client,32,8192,4905956,1893
server,32,8192,5953528,2297
client,32,8192,5961307,2299
server,32,8192,5512718,2126
client,32,8192,5442707,2100
server,32,8192,6181712,2386
client,32,8192,4257706,1642
server,32,8192,4944851,1908
client,32,8192,8479110,3271
server,32,8192,5502346,2122
client,32,8192,5082280,1961
server,32,8192,6526581,2518
client,32,8192,5691635,2194
server,32,8192,4791864,1849
client,32,8192,4563680,1761
server,32,8192,6855892,2644
client,32,8192,5834250,2249
server,32,8192,4755562,1835
client,32,8192,5074501,1959
server,32,8192,5961307,2301
client,32,8192,4877433,1883
server,32,8192,5497160,2121
client,32,8192,4763341,1837
server,32,8192,4861875,1876
client,32,8192,4558494,1758
server,32,8192,5012269,1934
client,32,8192,5204151,2006
server,32,8192,5569764,2150
client,32,8192,5813506,2241
server,32,8192,5121175,1977
client,32,8192,4835945,1866
server,32,8192,4786678,1847
client,32,8192,4817794,1858
server,32,8192,5214523,2012
client,32,8192,4957816,1912
server,32,8192,4975967,1919
client,32,8192,5323429,2054
server,32,8192,4963002,1914
client,32,8192,5173035,1995
server,32,8192,4931886,1904
client,32,8192,4716667,1820
server,32,8192,5914633,2281
client,32,8192,5362324,2067
server,32,8192,5948342,2295
client,32,8192,4714074,1818
server,32,8192,4869654,1879
client,32,8192,4644063,1792
server,32,8192,5297499,2043
client,32,8192,5095245,1965
server,32,8192,6129852,2365
client,32,8192,4765934,1837
