endpoint,operation,data_size,cycles
client,encrypt,80,5186
server,decrypt,80,15558
server,encrypt,80,7779
client,decrypt,80,10372
client,encrypt,96,7779
server,decrypt,96,7779
server,encrypt,96,5186
client,decrypt,96,7779
client,encrypt,128,10372
server,decrypt,128,10372
server,encrypt,128,7779
client,decrypt,128,12965
client,encrypt,192,10372
server,decrypt,192,10372
server,encrypt,192,10372
client,decrypt,192,12965
client,encrypt,320,15558
server,decrypt,320,18151
server,encrypt,320,15558
client,decrypt,320,18151
client,encrypt,576,25930
server,decrypt,576,51860
server,encrypt,576,23337
client,decrypt,576,28523
client,encrypt,1088,44081
server,decrypt,1088,70011
server,encrypt,1088,46674
client,decrypt,1088,49267
client,encrypt,2112,88162
server,decrypt,2112,88162
server,encrypt,2112,88162
client,decrypt,2112,90755
client,encrypt,4160,217812
server,decrypt,4160,168545
server,encrypt,4160,168545
client,decrypt,4160,228184
