endpoint,operation,time
server,write_certificate,1
server,get_ecdh_params_from_cert,4
server,write_certificate_request,2
client,parse_certificate,77984
client,get_ecdh_params_from_cert,5
client,parse_certificate_request,2
client,write_certificate,2
client,ecdh_make_public,12418
client,ecdh_calc_secret,16417
client,hash_cert_verify,2
client,sign_cert_verify,11814
server,parse_certificate,67254
server,ecdh_read_public,4
server,ecdh_calc_secret,12736
server,hash_cert_verify,2
server,verify_cert_verify,22847
