sec_lvl,test_id,operation,cycles,time
1,44,sha256_hash_key_expansion,134888,51
1,45,psk_derive_premaster,5188,1
1,45,sha256_hash_master_secret,51880,20
1,45,sha256_hash_key_expansion,132294,51
1,46,psk_derive_premaster,2594,1
1,46,sha256_hash_master_secret,51880,20
1,46,sha256_hash_key_expansion,132294,52
1,47,psk_derive_premaster,2594,2
1,47,sha256_hash_master_secret,51880,20
1,47,sha256_hash_key_expansion,134888,52
1,48,psk_derive_premaster,2594,2
1,48,sha256_hash_master_secret,191956,75
1,48,sha256_hash_key_expansion,166016,63
1,49,psk_derive_premaster,2594,1
1,49,sha256_hash_master_secret,54474,20
1,49,sha256_hash_key_expansion,137482,53
2,0,psk_derive_premaster,2594,1
2,0,sha256_hash_master_secret,54474,21
2,0,sha256_hash_key_expansion,137482,53
2,1,psk_derive_premaster,2594,1
2,1,sha256_hash_master_secret,51880,20
2,1,sha256_hash_key_expansion,132294,51
2,2,psk_derive_premaster,2594,2
2,2,sha256_hash_master_secret,51880,20
2,2,sha256_hash_key_expansion,158234,61
2,3,psk_derive_premaster,2594,1
2,3,sha256_hash_master_secret,51880,20
2,3,sha256_hash_key_expansion,132294,51
2,4,psk_derive_premaster,2594,1
2,4,sha256_hash_master_secret,54474,21
2,4,sha256_hash_key_expansion,158234,61
2,5,psk_derive_premaster,2594,2
2,5,sha256_hash_master_secret,51880,20
2,5,sha256_hash_key_expansion,132294,51
2,6,psk_derive_premaster,2594,2
2,6,sha256_hash_master_secret,54474,20
2,6,sha256_hash_key_expansion,134888,51
2,7,psk_derive_premaster,5188,1
2,7,sha256_hash_master_secret,51880,20
2,7,sha256_hash_key_expansion,134888,51
2,8,psk_derive_premaster,2594,1
2,8,sha256_hash_master_secret,80414,31
2,8,sha256_hash_key_expansion,228272,88
2,9,psk_derive_premaster,2594,2
2,9,sha256_hash_master_secret,54474,20
2,9,sha256_hash_key_expansion,158234,61
2,10,psk_derive_premaster,2594,2
2,10,sha256_hash_master_secret,49286,20
2,10,sha256_hash_key_expansion,134888,51
2,11,psk_derive_premaster,2594,2
2,11,sha256_hash_master_secret,77820,30
2,11,sha256_hash_key_expansion,132294,51
2,12,psk_derive_premaster,5188,3
2,12,sha256_hash_master_secret,57068,22
2,12,sha256_hash_key_expansion,137482,53
2,13,psk_derive_premaster,2594,2
2,13,sha256_hash_master_secret,51880,20
2,13,sha256_hash_key_expansion,132294,51
2,14,psk_derive_premaster,5188,1
2,14,sha256_hash_master_secret,51880,20
2,14,sha256_hash_key_expansion,134888,51
2,15,psk_derive_premaster,2594,2
2,15,sha256_hash_master_secret,54474,20
2,15,sha256_hash_key_expansion,134888,53
2,16,psk_derive_premaster,2594,2
2,16,sha256_hash_master_secret,54474,21
2,16,sha256_hash_key_expansion,168610,66
2,17,psk_derive_premaster,2594,2
2,17,sha256_hash_master_secret,54474,20
2,17,sha256_hash_key_expansion,137482,53
2,18,psk_derive_premaster,2594,1
2,18,sha256_hash_master_secret,51880,20
2,18,sha256_hash_key_expansion,134888,51
2,19,psk_derive_premaster,5188,1
2,19,sha256_hash_master_secret,51880,19
2,19,sha256_hash_key_expansion,134888,52
2,20,psk_derive_premaster,2594,1
2,20,sha256_hash_master_secret,54474,21
2,20,sha256_hash_key_expansion,140076,53
2,21,psk_derive_premaster,2594,2
2,21,sha256_hash_master_secret,0,0
2,21,sha256_hash_key_expansion,0,0
2,22,psk_derive_premaster,5188,1
2,22,sha256_hash_master_secret,51880,20
2,22,sha256_hash_key_expansion,215302,84
2,23,psk_derive_premaster,5188,2
2,23,sha256_hash_master_secret,51880,20
2,23,sha256_hash_key_expansion,132294,51
2,24,psk_derive_premaster,2594,2
2,24,sha256_hash_master_secret,54474,21
2,24,sha256_hash_key_expansion,137482,52
2,25,psk_derive_premaster,2594,1
2,25,sha256_hash_master_secret,54474,21
2,25,sha256_hash_key_expansion,140076,53
2,26,psk_derive_premaster,2594,1
2,26,sha256_hash_master_secret,80414,31
2,26,sha256_hash_key_expansion,142670,54
2,27,psk_derive_premaster,2594,1
2,27,sha256_hash_master_secret,51880,20
2,27,sha256_hash_key_expansion,132294,51
2,28,psk_derive_premaster,2594,1
2,28,sha256_hash_master_secret,51880,20
2,28,sha256_hash_key_expansion,134888,51
2,29,psk_derive_premaster,2594,1
2,29,sha256_hash_master_secret,51880,21
2,29,sha256_hash_key_expansion,137482,53
2,30,psk_derive_premaster,2594,1
2,30,sha256_hash_master_secret,51880,20
2,30,sha256_hash_key_expansion,134888,51
2,31,psk_derive_premaster,5188,1
2,31,sha256_hash_master_secret,51880,20
2,31,sha256_hash_key_expansion,132294,51
2,32,psk_derive_premaster,2594,2
2,32,sha256_hash_master_secret,51880,19
2,32,sha256_hash_key_expansion,132294,52
2,33,psk_derive_premaster,5188,1
2,33,sha256_hash_master_secret,49286,20
2,33,sha256_hash_key_expansion,134888,51
2,34,psk_derive_premaster,5188,1
2,34,sha256_hash_master_secret,51880,19
2,34,sha256_hash_key_expansion,197144,77
2,35,psk_derive_premaster,2594,1
2,35,sha256_hash_master_secret,51880,19
2,35,sha256_hash_key_expansion,132294,51
2,36,psk_derive_premaster,2594,1
2,36,sha256_hash_master_secret,51880,20
2,36,sha256_hash_key_expansion,134888,51
2,37,psk_derive_premaster,2594,1
2,37,sha256_hash_master_secret,54474,20
2,37,sha256_hash_key_expansion,140076,53
2,38,psk_derive_premaster,5188,1
2,38,sha256_hash_master_secret,54474,21
2,38,sha256_hash_key_expansion,137482,53
