endpoint,input_size,enc_cycles,enc_usec,dec_cycles,dec_usec
client,16,10372,3,12965,5
server,16,12965,3,7779,4
client,16,7779,2,7779,3
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,5186,2
server,16,5186,2,5186,3
client,16,5186,2,5186,3
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,5186,2,5186,2
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,5186,2,5186,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,0,0,7779,2
client,16,5186,2,5186,3
server,16,5186,1,7779,2
client,16,5186,1,7779,2
server,16,5186,2,7779,2
client,16,5186,2,5186,3
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,5186,1,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,7779,2,7779,2
client,16,5186,2,5186,3
server,16,31116,13,5186,2
client,16,5186,2,7779,2
server,16,7779,2,5186,3
client,16,5186,2,7779,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,7779,2,5186,3
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,1,10372,5
client,16,7779,2,7779,3
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,59639,24,5186,2
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,5186,3
server,16,5186,1,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,1,7779,2
client,16,5186,2,5186,3
server,16,5186,2,5186,3
client,16,5186,2,5186,3
server,16,5186,2,5186,3
client,16,5186,2,5186,2
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,5186,2,5186,2
client,16,5186,2,5186,3
server,16,5186,2,7779,2
client,16,2593,2,7779,2
server,16,5186,2,5186,2
client,16,5186,2,7779,3
server,16,5186,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,5186,2
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,5186,3,7779,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,0,0,0,0
server,16,0,0,0,0
client,16,0,0,0,0
server,16,0,0,0,0
client,16,0,0,0,0
server,16,0,0,0,0
client,16,0,0,0,0
server,16,0,0,0,0
client,16,0,0,0,0
server,16,0,0,0,0
client,16,0,0,0,0
server,16,0,0,0,0
client,16,0,0,0,0
server,16,0,0,0,0
client,16,0,0,0,0
server,16,0,0,0,0
client,16,0,0,0,0
server,16,0,0,0,0
client,16,0,0,0,0
server,16,0,0,0,0
client,16,0,0,0,0
server,16,0,0,0,0
client,16,0,0,0,0
server,16,0,0,0,0
client,16,0,0,0,0
server,16,10372,3,23337,8
client,16,7779,2,12965,4
server,16,7779,2,12965,4
client,16,7779,2,0,0
server,16,0,0,7779,3
client,16,31116,11,7779,3
server,16,7779,3,10372,3
client,16,7779,2,12965,4
server,16,10372,3,7779,2
client,16,5186,2,12965,4
server,16,7779,3,7779,3
client,16,5186,2,10372,3
server,16,5186,2,10372,3
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,7779,2,5186,2
server,16,5186,2,7779,2
client,16,7779,2,7779,3
server,16,5186,2,7779,3
client,16,7779,2,5186,3
server,16,5186,2,7779,2
client,16,5186,2,7779,2
server,16,7779,2,10372,3
client,16,5186,2,31116,11
server,16,2593,1,7779,3
client,16,5186,3,5186,3
server,16,7779,2,7779,2
client,16,5186,2,7779,3
server,16,7779,2,7779,3
client,16,5186,2,7779,3
server,16,5186,3,7779,3
client,16,7779,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,7779,2,5186,3
server,16,7779,2,7779,3
client,16,5186,2,0,0
server,16,5186,2,7779,2
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,7779,3
server,16,5186,2,5186,3
client,16,5186,2,7779,3
server,16,5186,2,10372,3
client,16,7779,2,7779,2
server,16,5186,2,7779,2
client,16,5186,3,7779,3
server,16,5186,2,7779,3
client,16,7779,2,7779,2
server,16,7779,3,15558,5
client,16,5186,3,10372,3
server,16,7779,2,7779,3
client,16,5186,2,7779,3
server,16,0,0,7779,2
client,16,5186,2,7779,3
server,16,5186,2,7779,3
client,16,7779,2,12965,4
server,16,7779,2,10372,5
client,16,5186,2,7779,3
server,16,7779,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,5186,3
client,16,5186,2,0,0
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,5186,2,10372,3
client,16,5186,2,7779,3
server,16,7779,2,7779,3
client,16,5186,2,7779,3
server,16,217812,83,5186,3
client,16,5186,2,5186,3
server,16,7779,2,7779,2
client,16,7779,2,7779,2
server,16,7779,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,2
client,16,7779,2,7779,3
server,16,5186,2,7779,2
client,16,5186,2,7779,3
server,16,5186,2,12965,4
client,16,5186,2,10372,4
server,16,7779,2,7779,3
client,16,7779,2,7779,2
server,16,7779,2,7779,2
client,16,5186,2,5186,3
server,16,7779,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,10372,3
