endpoint,operation,cycles,usec
server,make_params,498771329,192352
server,digest,44081,17
server,sign,209348448,80736
client,read_params,54453,6
client,digest,46674,16
client,verify,5694228,2207
client,make_public,499328824,192568
client,calc_secret,521976086,201302
server,read_public,7779,3
server,calc_secret,517072723,199411
