endpoint,operation,input_size,cycles
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,7779
server,encrypt,64,2593
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,5186
client,decrypt,64,5186
client,encrypt,64,5186
server,decrypt,64,5186
server,encrypt,64,2593
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
server,decrypt,64,0
server,encrypt,64,0
client,decrypt,64,0
client,encrypt,64,0
