operation,cycles,usec,endpoint,input_size
starts,0,0
update,0,0
finish,0,0
reset,0,0
update,0,0
finish,0,0
reset,0,0
starts,46674,15
update,10372,3
finish,10372,4
reset,5186,2
update,5186,2
finish,10372,3
reset,5186,2
update,2593,1
finish,7779,3
reset,2593,2
update,5186,2
update,0,0
finish,15558,6
reset,5186,2
update,5186,2
finish,7779,3
reset,5186,1
update,0,1
finish,10372,3
reset,7779,2
update,2593,0
finish,7779,3
starts,5186,2
finish,10372,3
starts,5186,2
update,5186,2
finish,31116,12
reset,5186,1
update,5186,2
finish,7779,3
reset,2593,1
update,2593,1
finish,7779,2
reset,342276,2
update,0,0
finish,0,0
reset,0,0
update,422659,163
finish,7779,4
reset,2593,2
update,5186,2
finish,7779,3
reset,2593,2
update,2593,1
finish,5186,3
reset,2593,2
update,5186,2
finish,7779,3
reset,2593,1
update,2593,1
finish,7779,3
reset,5186,1
update,5186,2
finish,7779,3
reset,5186,1
update,2593,1
finish,7779,3
reset,2593,2
update,2593,1
update,5186,2
finish,23337,8
reset,7779,2
update,5186,2
finish,7779,3
reset,5186,2
update,2593,1
finish,12965,4
reset,5186,2
finish,15558,5
update,5186,2
reset,10372,3
finish,12965,4
reset,5186,150
update,5186,1
finish,10372,4
reset,5186,2
update,20744,5
update,2593,1
finish,15558,6
reset,5186,2
update,2593,2
finish,7779,3
reset,2593,2
update,0,1
finish,7779,3
reset,5186,2
update,7779,2
finish,10372,3
reset,5186,2
update,5186,1
finish,10372,4
starts,2593,2
starts,5186,2
starts,5186,2
finish,15558,5
reset,7779,2
update,2593,1
finish,10372,3
update,5186,2
finish,49267,17
reset,7779,2
update,10372,2
finish,12965,4
reset,5186,1
update,2593,1
reset,0,0
update,0,0
finish,0,0
reset,0,0
update,0,0
finish,0,0
update,5186,1
update,5186,1
update,2593,1
update,0,1
finish,7779,4
reset,5186,1
finish,20744,6
reset,7779,2
update,7779,3
finish,12965,4
reset,2593,2
update,5186,1
finish,12965,5
reset,5186,1
update,7779,2
finish,10372,3
reset,2593,1
update,2593,1
finish,12965,4
reset,7779,2
update,7779,2
finish,10372,3
reset,0,0
update,2593,1
finish,2128853,0
reset,10372,3
update,7779,2
finish,12965,4
reset,2593,2
update,2593,1
finish,7779,3
starts,5186,1
starts,5186,1
starts,2593,2
update,2593,1
finish,10372,3
reset,7779,2
update,5186,2
finish,7779,4
reset,5186,2
update,0,1
finish,5186,3
update,5186,1
update,0,1
update,0,1
update,2593,0
finish,10372,3
reset,2593,1
starts,5186,1
update,2593,1
finish,7779,3
reset,2593,1
update,5186,1
starts,5186,2
finish,7779,3
update,2593,1
reset,2593,1
update,2593,1
finish,7779,4
finish,5186,3
reset,5186,2
update,2593,1
update,5186,2
update,0,1
finish,7779,3
update,2593,1
reset,2593,1
update,2593,0
update,2593,0
finish,7779,3
finish,7779,3
reset,2593,1
update,2593,1
update,2593,1
update,2593,1
update,2593,1
finish,12965,5
reset,5186,1
update,7779,1
update,5186,1
update,0,1
update,2593,0
finish,15558,5
reset,2593,1,client,16
update,2593,2
update,2593,1
update,0,1
update,2593,0
finish,10372,4
reset,5186,1,server,16
update,0,1
update,2593,0
update,2593,1
update,2593,0
finish,7779,3
reset,2593,1,server,16
update,5186,1
update,2593,1
update,2593,1
update,2593,1
finish,10372,4
reset,5186,1,client,16
update,7779,2
update,2593,1
update,2593,0
update,2593,1
finish,12965,6
reset,2593,2,server,close
update,7779,2
update,2593,1
update,0,1
update,2593,1
finish,15558,6
reset,2593,1,client,close
