endpoint,input_size,enc_cycles,enc_usec,dec_cycles,dec_usec
client,16,7779,3,12965,3
server,16,7779,2,10372,4
client,16,10372,3,7779,3
server,16,7779,2,7779,2
client,16,5186,2,7779,2
server,16,5186,2,7779,3
client,16,5186,2,7779,2
server,16,5186,2,5186,3
client,16,5186,2,7779,2
server,16,7779,2,7779,2
client,32,31116,12,7779,2
server,32,7779,2,7779,3
client,32,5186,2,10372,3
server,32,7779,2,7779,2
client,32,5186,2,7779,3
server,32,7779,2,5186,3
client,32,5186,2,7779,2
server,32,31116,11,7779,3
client,32,5186,2,7779,3
server,32,7779,2,5186,3
client,64,7779,2,7779,4
server,64,7779,3,10372,3
client,64,7779,2,7779,4
server,64,7779,3,15558,5
client,64,7779,3,10372,3
server,64,7779,3,7779,4
client,64,7779,2,10372,4
server,64,7779,3,10372,3
client,64,7779,3,7779,4
server,64,7779,3,10372,3
client,128,10372,3,10372,4
server,128,10372,3,10372,5
client,128,12965,4,12965,4
server,128,10372,4,10372,4
client,128,10372,3,12965,4
server,128,10372,4,15558,5
client,128,10372,3,18151,6
server,128,12965,4,12965,4
client,128,10372,4,10372,4
server,128,10372,3,12965,4
client,256,15558,6,18151,6
server,256,15558,5,15558,6
client,256,20744,7,15558,6
server,256,15558,6,15558,7
client,256,15558,5,15558,6
server,256,15558,6,18151,6
client,256,15558,6,15558,7
server,256,15558,6,18151,6
client,256,23337,8,28523,10
server,256,23337,8,28523,10
client,512,28523,10,31116,12
server,512,28523,10,31116,11
client,512,25930,9,28523,11
server,512,25930,10,25930,11
client,512,25930,9,28523,10
server,512,25930,9,36302,12
client,512,33709,10,33709,12
server,512,67418,25,49267,18
client,512,67418,26,46674,18
server,512,41488,15,44081,18
client,1024,75197,28,75197,29
server,1024,75197,29,0,0
client,1024,0,0,49267,19
server,1024,46674,17,46674,19
client,1024,44081,18,46674,19
server,1024,44081,18,46674,19
client,1024,46674,18,267079,101
server,1024,46674,18,54453,21
client,1024,49267,18,49267,18
server,1024,46674,17,49267,18
server,close,10372,2,10372,3
