endpoint,min_input,max_input,cycles,time
client,32,8192,187997686,72503
server,32,8192,181572232,70024
client,32,8192,183039870,70590
server,32,8192,186926777,72091
client,32,8192,189786856,73193
server,32,8192,201883201,77858
client,32,8192,207017341,79837
server,32,8192,136931144,52808
client,32,8192,192245020,74140
server,32,8192,161600946,62323
client,32,8192,184204127,71039
server,32,8192,168495733,64981
client,32,8192,58679590,22630
server,32,8192,153977526,59382
client,32,8192,25937779,10002
server,32,8192,176069886,67902
client,32,8192,185575824,71568
server,32,8192,174578911,67327
client,32,8192,21731933,8382
server,32,8192,176215094,67959
client,32,8192,188521472,72704
server,32,8192,161546493,62301
client,32,8192,179995688,69417
server,32,8192,148106974,57110
client,32,8192,180003467,69420
server,32,8192,180389824,69569
client,32,8192,142659081,55018
server,32,8192,154560951,59608
client,32,8192,185002771,71347
server,32,8192,179928270,69391
client,32,8192,185656207,71599
server,32,8192,179215195,69115
client,32,8192,188666680,72760
server,32,8192,182145285,70247
client,32,8192,181515186,70003
server,32,8192,96119917,37069
client,32,8192,142194934,54838
server,32,8192,160833418,62027
client,32,8192,163138595,62914
server,32,8192,187364994,72259
client,32,8192,54541162,21034
server,32,8192,176941134,68238
client,32,8192,181362199,69944
server,32,8192,176448464,68048
client,32,8192,148296263,57191
server,32,8192,185617312,71585
client,32,8192,189662392,73144
server,32,8192,176357709,68013
client,32,8192,179277427,69138
server,32,8192,178079461,68677
client,32,8192,171739576,66234
server,32,8192,186143691,71787
client,32,8192,184720134,71239
server,32,8192,179915305,69386
client,32,8192,185715846,71622
server,32,8192,181442582,69975
client,32,8192,181572232,70023
server,32,8192,186182586,71804
client,32,8192,183880002,70915
server,32,8192,181227363,69891
client,32,8192,186584501,71957
server,32,8192,161103090,62131
client,32,8192,188949317,72869
server,32,8192,177005959,68253
client,32,8192,186996788,72116
server,32,8192,168018621,64799
client,32,8192,182679443,70451
server,32,8192,181450361,69977
client,32,8192,188078069,72534
server,32,8192,176183978,67946
client,32,8192,187471307,72300
server,32,8192,178473597,68829
client,32,8192,28950845,11164
server,32,8192,186989009,72113
client,32,8192,183654411,70828
server,32,8192,176137304,67928
client,32,8192,184320812,71084
server,32,8192,172483767,66520
client,32,8192,161673550,62351
server,32,8192,189768705,73185
client,32,8192,179824550,69350
server,32,8192,183501424,70768
client,32,8192,159606929,61552
server,32,8192,150158037,57910
client,32,8192,182967266,70562
server,32,8192,184032989,70974
client,32,8192,193806006,74742
server,32,8192,178727711,68938
client,32,8192,196440494,75758
server,32,8192,165996081,64017
client,32,8192,189584602,73114
server,32,8192,180993993,69802
client,32,8192,142213085,54846
server,32,8192,177231550,68352
client,32,8192,193728216,74712
server,32,8192,150391407,58002
client,32,8192,184390823,71115
server,32,8192,198403395,76516
client,32,8192,201175312,77583
server,32,8192,161740968,62377
client,32,8192,169696292,65444
server,32,8192,140815458,54307
client,32,8192,193450765,74606
server,32,8192,180068292,69445
client,32,8192,186400398,71887
server,32,8192,179619703,69271
client,32,8192,194132724,74869
server,32,8192,177954997,68629
client,32,8192,186607838,71968
server,32,8192,183688120,70841
client,32,8192,188407380,72660
server,32,8192,177436397,68429
client,32,8192,182409771,70346
server,32,8192,182990603,70572
client,32,8192,188409973,72661
server,32,8192,195621106,75444
client,32,8192,185746962,71635
server,32,8192,182005263,70191
client,32,8192,184245615,71055
server,32,8192,189200838,72970
client,32,8192,194109387,74860
server,32,8192,177021517,68269
client,32,8192,193863052,74762
