sec_lvl,test_id,cycles,time
2,19,5188,1
2,19,2594,1
2,19,33722,12
2,19,5188,2
2,19,2594,0
2,19,282746,108
2,20,31128,12
2,20,2594,1
2,20,36316,13
2,20,5188,1
2,20,2594,1
2,20,228272,87
2,21,5188,1
2,21,0,1
2,21,36316,14
2,21,5188,1
2,21,2594,1
2,21,238648,92
2,22,5188,2
2,22,2594,0
2,22,33722,13
2,22,5188,1
2,22,2594,1
2,22,233460,89
2,23,5188,2
2,23,2594,1
2,23,36316,14
2,23,5188,2
2,23,2594,1
2,23,264588,101
2,24,5188,1
2,24,2594,1
2,24,33722,13
2,24,5188,2
2,24,2594,1
2,24,241242,92
2,25,5188,1
2,25,2594,1
2,25,33722,13
2,25,7782,2
2,25,2594,1
2,25,215302,83
2,26,5188,2
2,26,2594,0
2,26,33722,13
2,26,5188,2
2,26,2594,1
2,26,238648,92
2,27,7782,2
2,27,0,1
2,27,33722,14
2,27,5188,1
2,27,2594,1
2,27,339814,130
2,28,5188,1
2,28,2594,1
2,28,33722,12
2,28,5188,1
2,28,2594,1
2,28,220490,85
2,29,5188,1
2,29,2594,1
2,29,33722,13
2,29,5188,2
2,29,2594,1
2,29,228272,88
2,30,5188,1
2,30,2594,1
2,30,33722,13
2,30,5188,2
2,30,2594,1
2,30,246430,94
2,31,5188,1
2,31,2594,1
2,31,36316,13
2,31,5188,1
2,31,2594,1
2,31,241242,93
2,32,5188,1
2,32,2594,1
2,32,33722,13
2,32,7782,2
2,32,2594,1
2,32,238648,92
2,33,5188,1
2,33,0,1
2,33,33722,14
2,33,7782,2
2,33,2594,1
2,33,337220,129
2,34,5188,1
2,34,2594,1
2,34,38910,16
2,34,5188,2
2,34,2594,1
2,34,332032,127
2,35,7782,2
2,35,2594,0
2,35,33722,13
2,35,5188,2
2,35,2594,1
2,35,238648,92
2,36,5188,2
2,36,2594,1
2,36,33722,13
2,36,5188,1
2,36,2594,0
2,36,357972,137
2,37,5188,2
2,37,2594,1
