endpoint,operation,data_size,cycles,time
server,encrypt,56,12965,6
client,decrypt,56,20744,7
client,encrypt,56,20744,7
server,decrypt,56,20744,6
server,encrypt,56,15558,5
client,decrypt,56,20744,6
client,encrypt,56,18151,7
server,decrypt,56,28523,10
server,encrypt,56,15558,6
client,decrypt,56,18151,6
client,encrypt,56,12965,6
server,decrypt,56,18151,6
server,encrypt,56,12965,5
client,decrypt,56,18151,6
client,encrypt,56,12965,6
server,decrypt,56,18151,7
server,encrypt,56,15558,5
client,decrypt,56,18151,6
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,12965,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,12965,5
client,decrypt,56,12965,4
client,encrypt,56,12965,5
server,decrypt,56,18151,5
server,encrypt,56,15558,5
client,decrypt,56,18151,6
client,encrypt,56,15558,5
server,decrypt,56,15558,6
server,encrypt,56,15558,5
client,decrypt,56,18151,6
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,18151,6
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,18151,6
server,encrypt,56,12965,5
client,decrypt,56,15558,6
client,encrypt,56,15558,5
server,decrypt,56,15558,6
server,encrypt,56,15558,6
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,12965,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,6
client,encrypt,56,12965,5
server,decrypt,56,20744,7
server,encrypt,56,12965,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,12965,5
client,decrypt,56,12965,5
client,encrypt,56,15558,5
server,decrypt,56,12965,5
server,encrypt,56,15558,5
client,decrypt,56,12965,5
client,encrypt,56,12965,5
server,decrypt,56,38895,14
server,encrypt,56,12965,5
client,decrypt,56,18151,5
client,encrypt,56,15558,6
server,decrypt,56,18151,6
server,encrypt,56,12965,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,12965,6
server,encrypt,56,12965,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,15558,6
server,encrypt,56,15558,5
client,decrypt,56,18151,6
client,encrypt,56,15558,5
server,decrypt,56,18151,6
server,encrypt,56,15558,6
client,decrypt,56,18151,6
client,encrypt,56,15558,5
server,decrypt,56,18151,7
server,encrypt,56,15558,5
client,decrypt,56,18151,6
client,encrypt,56,20744,7
server,decrypt,56,18151,6
server,encrypt,56,15558,5
client,decrypt,56,18151,6
client,encrypt,56,12965,5
server,decrypt,56,15558,6
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,5
client,encrypt,56,12965,5
server,decrypt,56,15558,5
server,encrypt,56,12965,5
client,decrypt,56,15558,6
client,encrypt,56,15558,5
server,decrypt,56,15558,5
server,encrypt,56,15558,5
client,decrypt,56,15558,6
