sec_lvl,test_id,operation,cycles,time
2,4,parse_server_ecdh_params,10372,3
2,4,ecdsa_verify_with_sha512,140198324,54068
2,4,ecdh_make_public,72041319,27783
2,4,ecdh_calc_secret,35848225,13824
2,4,ecdsa_sign_with_sha256,76257537,29407
2,5,parse_server_ecdh_params,12965,5
2,5,ecdsa_verify_with_sha512,9850807,3798
2,5,ecdh_make_public,53726960,20719
2,5,ecdh_calc_secret,66741227,25739
2,5,ecdsa_sign_with_sha256,57095267,22018
2,6,parse_server_ecdh_params,12965,4
2,6,ecdsa_verify_with_sha512,135821340,52380
2,6,ecdh_make_public,59275980,22859
2,6,ecdh_calc_secret,66551938,25665
2,6,ecdsa_sign_with_sha256,71927227,27740
2,7,parse_server_ecdh_params,15558,5
2,7,ecdsa_verify_with_sha512,134052914,51697
2,7,ecdh_make_public,53161686,20501
2,7,ecdh_calc_secret,82047706,31643
2,7,ecdsa_sign_with_sha256,925701,356
2,8,parse_server_ecdh_params,15558,5
2,8,ecdsa_verify_with_sha512,96923747,37379
2,8,ecdh_make_public,66562310,25670
2,8,ecdh_calc_secret,59364142,22893
2,8,ecdsa_sign_with_sha256,10032317,3868
2,9,parse_server_ecdh_params,15558,6
2,9,ecdsa_verify_with_sha512,137143770,52890
2,9,ecdh_make_public,57559414,22197
2,9,ecdh_calc_secret,66754192,25744
2,9,ecdsa_sign_with_sha256,5463451,2107
2,10,parse_server_ecdh_params,10372,4
2,10,ecdsa_verify_with_sha512,131612901,50756
2,10,ecdh_make_public,67296129,25953
2,10,ecdh_calc_secret,9933783,3830
2,10,ecdsa_sign_with_sha256,55246458,21306
2,11,parse_server_ecdh_params,18151,6
2,11,ecdsa_verify_with_sha512,32835159,12662
2,11,ecdh_make_public,60914756,23491
2,11,ecdh_calc_secret,67430965,26005
2,11,ecdsa_sign_with_sha256,63276979,24403
2,12,parse_server_ecdh_params,10372,3
2,12,ecdsa_verify_with_sha512,119604718,46125
2,12,ecdh_make_public,0,0
2,12,ecdh_calc_secret,93876972,36204
2,12,ecdsa_sign_with_sha256,92878667,35821
2,13,parse_server_ecdh_params,12965,4
2,13,ecdsa_verify_with_sha512,36841344,14207
2,13,ecdh_make_public,58347686,22500
2,13,ecdh_calc_secret,86948476,33532
2,13,ecdsa_sign_with_sha256,81803964,31548
2,14,parse_server_ecdh_params,10372,3
2,14,ecdsa_verify_with_sha512,135816154,52378
2,14,ecdh_make_public,66899400,25800
2,14,ecdh_calc_secret,65571784,25288
2,14,ecdsa_sign_with_sha256,64161192,24743
2,15,parse_server_ecdh_params,15558,6
2,15,ecdsa_verify_with_sha512,136316603,52571
2,15,ecdh_make_public,70309195,27115
2,15,ecdh_calc_secret,67609882,26073
2,15,ecdsa_sign_with_sha256,70599611,27227
2,16,parse_server_ecdh_params,15558,5
2,16,ecdsa_verify_with_sha512,100587656,38792
2,16,ecdh_make_public,0,0
2,16,ecdh_calc_secret,134558549,51894
2,16,ecdsa_sign_with_sha256,70304009,27114
2,17,parse_server_ecdh_params,12965,4
2,17,ecdsa_verify_with_sha512,137273420,52940
2,17,ecdh_make_public,69056776,26632
2,17,ecdh_calc_secret,68312585,26346
2,17,ecdsa_sign_with_sha256,64568293,24900
2,18,parse_server_ecdh_params,15558,6
2,18,ecdsa_verify_with_sha512,143714432,55425
2,18,ecdh_make_public,72106144,27808
2,18,ecdh_calc_secret,70482926,27183
2,18,ecdsa_sign_with_sha256,72575477,27989
2,19,parse_server_ecdh_params,7779,3
2,19,ecdsa_verify_with_sha512,104985384,40487
2,19,ecdh_make_public,64962429,25052
2,19,ecdh_calc_secret,71219338,27468
2,19,ecdsa_sign_with_sha256,67187223,25910
3,0,parse_server_ecdh_params,15558,6
3,0,ecdsa_verify_with_sha512,374885568,144577
3,0,ecdh_make_public,197392125,76126
3,0,ecdh_calc_secret,184170418,71025
3,0,ecdsa_sign_with_sha256,192945130,74410
3,1,parse_server_ecdh_params,15558,6
3,1,ecdsa_verify_with_sha512,386940425,149211
3,1,ecdh_make_public,195667780,75460
3,1,ecdh_calc_secret,185114270,71390
3,1,ecdsa_sign_with_sha256,192187974,74118
3,2,parse_server_ecdh_params,15558,4
3,2,ecdsa_verify_with_sha512,385828028,148797
3,2,ecdh_make_public,194959891,75188
3,2,ecdh_calc_secret,186154063,71793
3,2,ecdsa_sign_with_sha256,193149977,74489
3,3,parse_server_ecdh_params,15558,6
3,3,ecdsa_verify_with_sha512,383276516,147813
3,3,ecdh_make_public,194832834,75139
3,3,ecdh_calc_secret,187893966,72463
3,3,ecdsa_sign_with_sha256,191425632,73825
3,4,parse_server_ecdh_params,15558,5
3,4,ecdsa_verify_with_sha512,370433387,142858
3,4,ecdh_make_public,192831038,74366
3,4,ecdh_calc_secret,196523470,75790
3,4,ecdsa_sign_with_sha256,193629682,74674
3,5,parse_server_ecdh_params,15558,6
3,5,ecdsa_verify_with_sha512,374164714,144297
3,5,ecdh_make_public,206402800,79602
3,5,ecdh_calc_secret,182080460,70219
3,5,ecdsa_sign_with_sha256,194358315,74955
3,6,parse_server_ecdh_params,18151,5
3,6,ecdsa_verify_with_sha512,375787932,144924
3,6,ecdh_make_public,115512964,44547
3,6,ecdh_calc_secret,175185673,67560
3,6,ecdsa_sign_with_sha256,0,0
3,7,parse_server_ecdh_params,15558,5
3,7,ecdsa_verify_with_sha512,363242998,140085
3,7,ecdh_make_public,10029724,3867
3,7,ecdh_calc_secret,131791818,50825
3,7,ecdsa_sign_with_sha256,168879497,65128
3,8,parse_server_ecdh_params,15558,5
3,8,ecdsa_verify_with_sha512,377911599,145743
3,8,ecdh_make_public,190212108,73356
3,8,ecdh_calc_secret,172125933,66380
3,8,ecdsa_sign_with_sha256,196209717,75669
3,9,parse_server_ecdh_params,15558,5
3,9,ecdsa_verify_with_sha512,363359683,140130
3,9,ecdh_make_public,180169419,69482
3,9,ecdh_calc_secret,194399803,74971
3,9,ecdsa_sign_with_sha256,165000369,63632
3,10,parse_server_ecdh_params,15558,6
3,10,ecdsa_verify_with_sha512,147386120,56839
3,10,ecdh_make_public,416907726,160782
3,10,ecdh_calc_secret,29018263,11191
3,10,ecdsa_sign_with_sha256,232872144,89808
3,11,parse_server_ecdh_params,15558,5
3,11,ecdsa_verify_with_sha512,363136685,140044
3,11,ecdh_make_public,194918403,75171
3,11,ecdh_calc_secret,154988796,59771
3,11,ecdsa_sign_with_sha256,10937274,4217
3,12,parse_server_ecdh_params,38895,15
3,12,ecdsa_verify_with_sha512,179951607,69398
3,12,ecdh_make_public,163478278,63045
3,12,ecdh_calc_secret,184818668,71276
3,12,ecdsa_sign_with_sha256,120903811,46626
3,13,parse_server_ecdh_params,15558,5
3,13,ecdsa_verify_with_sha512,107848056,41591
3,13,ecdh_make_public,179316322,69154
3,13,ecdh_calc_secret,110868901,42757
3,13,ecdsa_sign_with_sha256,9814505,3784
3,14,parse_server_ecdh_params,12965,5
3,14,ecdsa_verify_with_sha512,40702321,15696
3,14,ecdh_make_public,192335775,74176
3,14,ecdh_calc_secret,29806535,11494
3,14,ecdsa_sign_with_sha256,180978435,69794
3,15,parse_server_ecdh_params,15558,5
3,15,ecdsa_verify_with_sha512,363580088,140215
3,15,ecdh_make_public,67122398,25885
3,15,ecdh_calc_secret,182650920,70439
3,15,ecdsa_sign_with_sha256,83512751,32207
3,16,parse_server_ecdh_params,15558,5
3,16,ecdsa_verify_with_sha512,361062285,139245
3,16,ecdh_make_public,175717238,67765
3,16,ecdh_calc_secret,194845799,75143
3,16,ecdsa_sign_with_sha256,187559469,72332
3,17,parse_server_ecdh_params,12965,5
3,17,ecdsa_verify_with_sha512,380294566,146662
3,17,ecdh_make_public,193551892,74644
3,17,ecdh_calc_secret,59465269,22932
3,17,ecdsa_sign_with_sha256,154817658,59705
3,18,parse_server_ecdh_params,18151,7
3,18,ecdsa_verify_with_sha512,61998630,23909
3,18,ecdh_make_public,160244807,61798
3,18,ecdh_calc_secret,184287103,71071
3,18,ecdsa_sign_with_sha256,108727083,41931
3,19,parse_server_ecdh_params,12965,4
3,19,ecdsa_verify_with_sha512,351455220,135540
3,19,ecdh_make_public,166268346,64120
3,19,ecdh_calc_secret,84614776,32631
3,19,ecdsa_sign_with_sha256,178102798,68685
