sec_lvl,test_id,operation,time
2,7,ecdh_read_public,4
2,7,ecdh_calc_secret,11506
2,8,ecdh_setup,2
2,8,ecdh_make_params,15071
2,8,ecdsa_sign_with_sha512,13009
2,8,ecdh_read_public,4
2,8,ecdh_calc_secret,13099
2,9,ecdh_setup,3
2,9,ecdh_make_params,14208
2,9,ecdsa_sign_with_sha512,12672
2,9,ecdh_read_public,4
2,9,ecdh_calc_secret,11448
2,10,ecdh_setup,2
2,10,ecdh_make_params,17043
2,10,ecdsa_sign_with_sha512,14488
2,10,ecdh_read_public,4
2,10,ecdh_calc_secret,11185
2,11,ecdh_setup,2
2,11,ecdh_make_params,12595
2,11,ecdsa_sign_with_sha512,12561
2,11,ecdh_read_public,6
2,11,ecdh_calc_secret,13709
2,12,ecdh_setup,2
2,12,ecdh_make_params,13032
2,12,ecdsa_sign_with_sha512,14503
2,12,ecdh_read_public,4
2,12,ecdh_calc_secret,11284
2,13,ecdh_setup,3
2,13,ecdh_make_params,16950
2,13,ecdsa_sign_with_sha512,12132
2,13,ecdh_read_public,4
2,13,ecdh_calc_secret,10981
2,14,ecdh_setup,3
2,14,ecdh_make_params,19158
2,14,ecdsa_sign_with_sha512,19892
2,14,ecdh_read_public,4
2,14,ecdh_calc_secret,11453
2,15,ecdh_setup,2
2,15,ecdh_make_params,12423
2,15,ecdsa_sign_with_sha512,13578
2,15,ecdh_read_public,4
2,15,ecdh_calc_secret,11035
2,16,ecdh_setup,3
2,16,ecdh_make_params,11986
2,16,ecdsa_sign_with_sha512,15220
2,16,ecdh_read_public,4
2,16,ecdh_calc_secret,13513
2,17,ecdh_setup,2
2,17,ecdh_make_params,11481
2,17,ecdsa_sign_with_sha512,12311
2,17,ecdh_read_public,4
2,17,ecdh_calc_secret,11683
2,18,ecdh_setup,2
2,18,ecdh_make_params,11488
2,18,ecdsa_sign_with_sha512,13184
2,18,ecdh_read_public,4
2,18,ecdh_calc_secret,11002
2,19,ecdh_setup,2
2,19,ecdh_make_params,11543
2,19,ecdsa_sign_with_sha512,11818
2,19,ecdh_read_public,4
2,19,ecdh_calc_secret,11174
2,20,ecdh_setup,3
2,20,ecdh_make_params,16501
2,20,ecdsa_sign_with_sha512,16360
2,20,ecdh_read_public,4
2,20,ecdh_calc_secret,12075
2,21,ecdh_setup,4
2,21,ecdh_make_params,19566
2,21,ecdsa_sign_with_sha512,11351
2,21,ecdh_read_public,4
2,21,ecdh_calc_secret,11069
2,22,ecdh_setup,2
2,22,ecdh_make_params,11230
2,22,ecdsa_sign_with_sha512,11526
2,22,ecdh_read_public,5
2,22,ecdh_calc_secret,11431
2,23,ecdh_setup,2
2,23,ecdh_make_params,11180
2,23,ecdsa_sign_with_sha512,14562
2,23,ecdh_read_public,4
2,23,ecdh_calc_secret,10857
2,24,ecdh_setup,2
2,24,ecdh_make_params,11162
2,24,ecdsa_sign_with_sha512,11681
2,24,ecdh_read_public,4
2,24,ecdh_calc_secret,10961
3,0,ecdh_setup,2
3,0,ecdh_make_params,31468
3,0,ecdsa_sign_with_sha512,29982
3,0,ecdh_read_public,4
3,0,ecdh_calc_secret,27849
3,1,ecdh_setup,2
3,1,ecdh_make_params,28650
3,1,ecdsa_sign_with_sha512,28029
3,1,ecdh_read_public,3
3,1,ecdh_calc_secret,26947
3,2,ecdh_setup,2
3,2,ecdh_make_params,32275
3,2,ecdsa_sign_with_sha512,32527
3,2,ecdh_read_public,5
3,2,ecdh_calc_secret,33522
3,3,ecdh_setup,2
3,3,ecdh_make_params,36191
3,3,ecdsa_sign_with_sha512,28529
3,3,ecdh_read_public,3
3,3,ecdh_calc_secret,33003
3,4,ecdh_setup,2
3,4,ecdh_make_params,37831
3,4,ecdsa_sign_with_sha512,36147
3,4,ecdh_read_public,6
3,4,ecdh_calc_secret,34494
3,5,ecdh_setup,3
3,5,ecdh_make_params,40063
3,5,ecdsa_sign_with_sha512,39863
3,5,ecdh_read_public,4
3,5,ecdh_calc_secret,39856
3,6,ecdh_setup,2
3,6,ecdh_make_params,48971
3,6,ecdsa_sign_with_sha512,34758
3,6,ecdh_read_public,4
3,6,ecdh_calc_secret,32454
3,7,ecdh_setup,2
3,7,ecdh_make_params,39075
3,7,ecdsa_sign_with_sha512,33000
3,7,ecdh_read_public,4
3,7,ecdh_calc_secret,27275
3,8,ecdh_setup,2
3,8,ecdh_make_params,29675
3,8,ecdsa_sign_with_sha512,31058
3,8,ecdh_read_public,4
3,8,ecdh_calc_secret,27421
3,9,ecdh_setup,3
3,9,ecdh_make_params,34604
3,9,ecdsa_sign_with_sha512,32550
3,9,ecdh_read_public,5
3,9,ecdh_calc_secret,28661
3,10,ecdh_setup,3
3,10,ecdh_make_params,34782
3,10,ecdsa_sign_with_sha512,35761
3,10,ecdh_read_public,4
3,10,ecdh_calc_secret,27228
3,11,ecdh_setup,2
3,11,ecdh_make_params,28892
3,11,ecdsa_sign_with_sha512,28954
3,11,ecdh_read_public,5
3,11,ecdh_calc_secret,32444
3,12,ecdh_setup,2
3,12,ecdh_make_params,36742
3,12,ecdsa_sign_with_sha512,29813
3,12,ecdh_read_public,5
3,12,ecdh_calc_secret,26970
3,13,ecdh_setup,2
3,13,ecdh_make_params,29458
3,13,ecdsa_sign_with_sha512,31176
3,13,ecdh_read_public,4
3,13,ecdh_calc_secret,27343
3,14,ecdh_setup,3
3,14,ecdh_make_params,35474
3,14,ecdsa_sign_with_sha512,28803
3,14,ecdh_read_public,4
3,14,ecdh_calc_secret,26763
3,15,ecdh_setup,3
3,15,ecdh_make_params,29184
3,15,ecdsa_sign_with_sha512,28139
3,15,ecdh_read_public,4
3,15,ecdh_calc_secret,27023
3,16,ecdh_setup,2
3,16,ecdh_make_params,29718
