operation,msglen,cycles,time
verify,4096,54474,21
hash,4096,51880,20
verify,4096,57068,21
hash,4096,49286,20
verify,4096,57068,21
hash,4096,51880,20
verify,4096,54474,21
hash,4096,80414,30
verify,4096,88196,22
hash,4096,51880,19
verify,4096,57068,21
hash,4096,51880,21
verify,4096,57068,21
hash,4096,51880,20
verify,4096,57068,21
hash,4096,51880,20
verify,4096,57068,21
hash,4096,51880,20
verify,4096,57068,21
hash,4096,51880,20
verify,4096,57068,21
hash,4096,49286,20
verify,4096,57068,22
hash,4096,51880,21
verify,4096,57068,21
hash,4096,51880,19
verify,4096,57068,21
hash,4096,51880,20
verify,4096,57068,21
hash,4096,49286,20
verify,4096,57068,21
hash,4096,51880,20
verify,4096,54474,21
hash,4096,51880,20
verify,4096,57068,21
hash,4096,51880,20
verify,4096,57068,21
hash,4096,111542,43
verify,4096,57068,21
hash,4096,51880,20
verify,4096,57068,21
hash,4096,51880,20
verify,4096,57068,21
hash,4096,51880,20
verify,4096,57068,21
hash,4096,51880,20
verify,4096,54474,21
hash,4096,51880,20
verify,4096,54474,21
hash,4096,51880,19
verify,4096,54474,21
hash,4096,51880,20
verify,4096,54474,21
hash,4096,51880,19
verify,4096,54474,20
hash,4096,51880,20
verify,4096,54474,21
hash,4096,51880,19
verify,4096,54474,21
hash,4096,51880,19
verify,4096,54474,21
hash,4096,51880,19
verify,4096,57068,21
hash,8192,124512,48
verify,8192,101166,39
hash,8192,95978,38
verify,8192,106354,40
hash,8192,124512,47
verify,8192,101166,38
hash,8192,95978,37
verify,8192,132294,51
hash,8192,95978,37
verify,8192,101166,38
hash,8192,98572,37
verify,8192,103760,39
hash,8192,98572,37
verify,8192,101166,38
hash,8192,158234,61
verify,8192,101166,38
hash,8192,95978,37
verify,8192,106354,40
hash,8192,98572,39
verify,8192,101166,38
hash,8192,95978,37
verify,8192,103760,39
hash,8192,95978,37
verify,8192,101166,38
hash,8192,95978,37
verify,8192,101166,39
hash,8192,95978,37
verify,8192,103760,39
hash,8192,95978,38
verify,8192,103760,39
hash,8192,98572,39
verify,8192,101166,38
hash,8192,95978,37
verify,8192,101166,38
hash,8192,95978,37
verify,8192,101166,38
hash,8192,98572,37
verify,8192,101166,39
hash,8192,95978,37
verify,8192,101166,38
hash,8192,124512,48
verify,8192,101166,38
hash,8192,98572,37
verify,8192,101166,38
hash,8192,204926,79
verify,8192,101166,38
hash,8192,95978,37
verify,8192,160828,51
hash,8192,98572,37
verify,8192,101166,39
hash,8192,95978,37
verify,8192,103760,39
hash,8192,95978,38
verify,8192,101166,39
hash,8192,95978,38
verify,8192,127106,48
hash,8192,95978,38
verify,8192,101166,38
hash,8192,98572,37
verify,8192,101166,39
hash,8192,95978,37
verify,8192,101166,38
hash,8192,95978,37
verify,8192,101166,39
hash,8192,95978,37
verify,8192,101166,39
hash,8192,95978,37
verify,8192,158234,61
hash,8192,95978,38
verify,8192,101166,38
hash,8192,95978,37
verify,8192,127106,49
hash,8192,95978,37
verify,8192,103760,39
hash,8192,95978,37
verify,8192,124512,49
hash,8192,95978,38
verify,8192,101166,38
hash,8192,98572,37
verify,8192,101166,39
hash,8192,98572,37
verify,8192,101166,38
hash,8192,95978,37
verify,8192,101166,39
hash,8192,95978,37
verify,8192,101166,38
hash,8192,95978,38
verify,8192,101166,38
hash,8192,98572,37
verify,8192,103760,40
