operation,msglen,time
encrypt,256,6
decrypt,256,6
encrypt,256,5
decrypt,256,6
encrypt,256,4
decrypt,256,5
encrypt,256,7
decrypt,256,5
encrypt,256,7
decrypt,256,7
encrypt,256,6
decrypt,256,6
encrypt,256,6
decrypt,256,6
encrypt,256,6
decrypt,256,6
encrypt,256,4
decrypt,256,7
encrypt,256,4
decrypt,256,6
encrypt,256,5
decrypt,256,5
encrypt,256,5
decrypt,256,6
encrypt,256,6
decrypt,256,6
encrypt,256,6
decrypt,256,6
encrypt,256,5
decrypt,256,7
encrypt,256,5
decrypt,256,5
encrypt,256,5
decrypt,256,5
encrypt,256,6
decrypt,256,5
encrypt,256,7
decrypt,256,6
encrypt,256,5
decrypt,256,5
encrypt,256,6
decrypt,256,5
encrypt,256,5
decrypt,256,6
encrypt,256,6
decrypt,256,6
encrypt,256,5
decrypt,256,5
encrypt,256,4
decrypt,256,5
encrypt,256,7
decrypt,256,5
encrypt,256,5
decrypt,256,7
encrypt,256,6
decrypt,256,5
encrypt,256,6
decrypt,256,5
encrypt,256,6
decrypt,256,5
encrypt,256,5
decrypt,256,8
encrypt,256,6
decrypt,256,5
encrypt,256,6
decrypt,256,7
encrypt,256,6
decrypt,256,6
encrypt,256,5
decrypt,256,6
encrypt,256,6
decrypt,256,5
encrypt,256,5
decrypt,256,8
encrypt,256,6
decrypt,256,6
encrypt,256,7
decrypt,256,5
encrypt,256,6
decrypt,256,6
encrypt,256,5
decrypt,256,7
encrypt,256,7
decrypt,256,6
encrypt,256,4
decrypt,256,5
encrypt,256,5
decrypt,256,7
encrypt,256,5
decrypt,256,7
encrypt,256,5
decrypt,256,5
encrypt,256,6
decrypt,256,7
encrypt,256,5
decrypt,256,7
encrypt,256,6
decrypt,256,7
encrypt,256,6
decrypt,256,7
encrypt,256,5
decrypt,256,5
encrypt,256,4
decrypt,256,6
encrypt,256,6
decrypt,256,7
encrypt,256,7
decrypt,256,6
encrypt,256,5
decrypt,256,6
encrypt,256,5
decrypt,256,5
encrypt,256,5
decrypt,256,5
encrypt,256,5
decrypt,256,5
encrypt,256,6
decrypt,256,5
encrypt,256,4
decrypt,256,5
encrypt,256,5
decrypt,256,6
encrypt,256,5
decrypt,256,15
encrypt,256,5
decrypt,256,6
encrypt,256,5
decrypt,256,5
encrypt,256,5
decrypt,256,5
encrypt,256,5
decrypt,256,5
encrypt,256,5
decrypt,256,5
encrypt,256,4
decrypt,256,6
encrypt,256,5
decrypt,256,6
encrypt,256,5
decrypt,256,5
encrypt,256,5
decrypt,256,5
encrypt,256,6
decrypt,256,5
encrypt,256,5
decrypt,256,6
encrypt,256,5
decrypt,256,6
encrypt,256,5
decrypt,256,5
encrypt,256,4
decrypt,256,5
encrypt,256,5
decrypt,256,5
encrypt,256,5
decrypt,256,5
encrypt,256,5
decrypt,256,6
encrypt,256,5
decrypt,256,5
encrypt,256,5
decrypt,256,5
encrypt,256,4
decrypt,256,14
encrypt,256,5
