endpoint,keylen,test_id,time
client,1,0,27
server,1,0,6
client,1,0,11
server,1,0,2
client,1,0,6
server,1,0,17
server,1,0,61439
client,1,0,22
server,1,0,2
client,1,0,123185
server,1,0,1
server,1,1,1
client,1,1,10
client,1,1,1
server,1,1,1
client,1,1,3
server,1,1,14
client,1,1,6
server,1,1,61350
client,1,1,121177
server,1,1,2
server,1,1,1
server,1,2,1
client,1,2,14
client,1,2,1
server,1,2,1
client,1,2,4
client,1,2,8
server,1,2,13
client,1,2,120985
server,1,2,62537
server,1,2,4
server,1,2,1
server,1,3,2
client,1,3,10
client,1,3,1
server,1,3,1
client,1,3,3
server,1,3,13
client,1,3,7
server,1,3,61448
client,1,3,122452
server,1,3,2
server,1,3,1
server,1,4,1
client,1,4,10
client,1,4,1
server,1,4,1
client,1,4,4
server,1,4,14
client,1,4,6
server,1,4,61463
server,1,4,1
client,1,4,121484
server,1,4,1
server,1,5,1
client,1,5,11
client,1,5,1
server,1,5,1
client,1,5,2
server,1,5,13
client,1,5,6
server,1,5,61836
client,1,5,122822
server,1,5,1
server,1,5,1
server,1,6,1
client,1,6,10
client,1,6,1
server,1,6,1
server,1,6,14
client,1,6,4
server,1,6,63082
client,1,6,7
server,1,6,1
client,1,6,121977
server,1,6,1
server,1,7,1
client,1,7,13
client,1,7,1
server,1,7,1
client,1,7,3
server,1,7,19
client,1,7,6
client,1,7,124121
server,1,7,62054
server,1,7,1
server,1,7,1
server,1,8,1
client,1,8,13
client,1,8,1
server,1,8,1
client,1,8,4
server,1,8,14
client,1,8,6
server,1,8,62143
client,1,8,122266
server,1,8,2
server,1,8,1
server,1,9,1
client,1,9,12
client,1,9,1
server,1,9,1
client,1,9,3
server,1,9,14
server,1,9,63524
client,1,9,7
server,1,9,2
client,1,9,123008
server,1,9,1
server,1,10,1
client,1,10,9
client,1,10,1
server,1,10,1
client,1,10,3
server,1,10,14
server,1,10,61236
client,1,10,6
client,1,10,121570
server,1,10,12
server,1,10,1
server,1,11,1
client,1,11,10
client,1,11,1
server,1,11,1
client,1,11,4
server,1,11,15
client,1,11,7
client,1,11,123116
server,1,11,61857
server,1,11,2
server,1,11,2
server,1,12,1
client,1,12,12
client,1,12,2
server,1,12,1
client,1,12,4
server,1,12,14
server,1,12,62132
client,1,12,7
server,1,12,2
client,1,12,122668
server,1,12,2
server,1,13,1
client,1,13,11
client,1,13,1
server,1,13,1
client,1,13,3
server,1,13,21
client,1,13,6
server,1,13,62942
client,1,13,120377
server,1,13,2
server,1,13,1
server,1,14,1
client,1,14,10
client,1,14,1
server,1,14,1
server,1,14,14
client,1,14,4
server,1,14,61716
client,1,14,7
server,1,14,1
server,1,14,2
client,1,14,123576
server,1,15,2
client,1,15,8
client,1,15,1
server,1,15,0
client,1,15,12
server,1,15,15
server,1,15,61701
client,1,15,7
client,1,15,122622
server,1,15,2
server,1,15,1
server,1,16,1
client,1,16,10
client,1,16,1
server,1,16,1
client,1,16,4
server,1,16,14
client,1,16,6
server,1,16,62442
client,1,16,123965
server,1,16,2
server,1,16,2
server,1,17,1
client,1,17,9
client,1,17,1
server,1,17,0
client,1,17,4
server,1,17,13
client,1,17,7
server,1,17,61561
client,1,17,121382
server,1,17,2
server,1,17,1
server,1,18,1
client,1,18,9
client,1,18,0
server,1,18,1
client,1,18,3
server,1,18,13
server,1,18,61426
client,1,18,7
server,1,18,1
client,1,18,122931
server,1,18,1
server,1,19,1
client,1,19,10
client,1,19,1
server,1,19,1
client,1,19,3
server,1,19,14
client,1,19,7
server,1,19,61777
server,1,19,1
client,1,19,122768
server,1,19,1
server,1,20,1
client,1,20,10
client,1,20,1
client,1,20,3
server,1,20,1
server,1,20,14
client,1,20,7
client,1,20,120589
server,1,20,62940
server,1,20,1
server,1,20,2
server,1,21,1
client,1,21,9
client,1,21,0
server,1,21,1
server,1,21,14
client,1,21,3
server,1,21,61554
client,1,21,6
server,1,21,2
client,1,21,122739
server,1,21,1
server,1,22,1
client,1,22,10
client,1,22,1
server,1,22,1
client,1,22,4
server,1,22,14
client,1,22,6
server,1,22,61944
server,1,22,1
client,1,22,121721
server,1,22,2
server,1,23,1
client,1,23,9
client,1,23,1
server,1,23,1
client,1,23,3
client,1,23,7
server,1,23,14
server,1,23,62956
client,1,23,120679
server,1,23,1
server,1,23,1
server,1,24,1
client,1,24,11
client,1,24,1
server,1,24,1
server,1,24,15
client,1,24,4
server,1,24,61548
server,1,24,1
client,1,24,6
client,1,24,122115
server,1,24,1
server,1,25,1
client,1,25,10
client,1,25,1
server,1,25,1
client,1,25,3
client,1,25,7
server,1,25,14
server,1,25,61549
client,1,25,121971
server,1,25,1
server,1,25,1
server,1,26,1
client,1,26,10
client,1,26,1
server,1,26,1
server,1,26,15
client,1,26,4
client,1,26,7
server,1,26,61414
client,1,26,122600
server,1,26,2
server,1,26,1
server,1,27,1
client,1,27,9
client,1,27,1
server,1,27,1
client,1,27,3
server,1,27,13
client,1,27,6
server,1,27,62334
server,1,27,2
client,1,27,122859
server,1,27,1
server,1,28,2
client,1,28,10
client,1,28,1
server,1,28,1
client,1,28,4
server,1,28,14
client,1,28,6
client,1,28,122320
server,1,28,62051
server,1,28,1
server,1,28,1
server,1,29,1
client,1,29,14
client,1,29,1
server,1,29,0
client,1,29,4
client,1,29,6
server,1,29,14
server,1,29,61960
client,1,29,123575
server,1,29,2
server,1,29,1
server,1,30,1
client,1,30,10
server,1,30,1
client,1,30,1
client,1,30,3
server,1,30,13
client,1,30,7
server,1,30,63351
server,1,30,1
server,1,30,1
client,1,30,121491
server,1,31,1
client,1,31,10
client,1,31,1
server,1,31,1
client,1,31,2
client,1,31,6
server,1,31,14
client,1,31,122591
server,1,31,61543
server,1,31,2
server,1,31,2
server,1,32,1
client,1,32,10
server,1,32,1
client,1,32,1
client,1,32,4
server,1,32,14
client,1,32,7
server,1,32,61919
server,1,32,1
client,1,32,119324
server,1,32,2
server,1,33,1
client,1,33,10
client,1,33,1
server,1,33,0
client,1,33,4
server,1,33,14
client,1,33,7
server,1,33,62554
client,1,33,122094
server,1,33,2
server,1,33,1
server,1,34,1
client,1,34,9
client,1,34,0
server,1,34,1
client,1,34,5
server,1,34,14
client,1,34,8
server,1,34,61597
server,1,34,1
client,1,34,121647
server,1,34,1
server,1,35,2
client,1,35,10
client,1,35,1
server,1,35,1
server,1,35,29
client,1,35,3
server,1,35,62328
client,1,35,7
server,1,35,2
server,1,35,2
client,1,35,122807
server,1,36,2
client,1,36,9
server,1,36,0
client,1,36,1
client,1,36,2
server,1,36,13
client,1,36,6
server,1,36,63705
server,1,36,2
client,1,36,121426
server,1,36,2
server,1,37,1
client,1,37,10
client,1,37,1
server,1,37,1
client,1,37,4
server,1,37,15
client,1,37,7
client,1,37,120468
server,1,37,62803
server,1,37,2
server,1,37,1
server,1,38,2
client,1,38,10
client,1,38,1
server,1,38,1
client,1,38,4
server,1,38,14
server,1,38,62005
client,1,38,7
server,1,38,2
server,1,38,1
client,1,38,121236
server,1,39,1
client,1,39,9
client,1,39,0
server,1,39,0
client,1,39,3
server,1,39,14
client,1,39,7
server,1,39,62610
client,1,39,123268
server,1,39,1
server,1,39,1
server,1,40,1
client,1,40,9
client,1,40,1
server,1,40,0
client,1,40,4
server,1,40,14
client,1,40,7
server,1,40,61296
client,1,40,122654
server,1,40,2
server,1,40,2
server,1,41,2
client,1,41,10
client,1,41,0
server,1,41,0
client,1,41,4
client,1,41,7
server,1,41,14
client,1,41,121743
server,1,41,61653
server,1,41,2
server,1,41,1
server,1,42,1
client,1,42,11
client,1,42,1
server,1,42,1
client,1,42,4
server,1,42,15
server,1,42,62839
client,1,42,7
server,1,42,1
server,1,42,2
client,1,42,121946
server,1,43,2
client,1,43,10
client,1,43,1
server,1,43,1
server,1,43,13
client,1,43,2
server,1,43,61141
client,1,43,6
client,1,43,121514
server,1,43,1
server,1,43,1
server,1,44,1
client,1,44,10
client,1,44,1
server,1,44,1
client,1,44,3
client,1,44,7
server,1,44,14
client,1,44,122635
server,1,44,62565
server,1,44,1
server,1,44,2
server,1,45,1
client,1,45,10
client,1,45,0
